district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,153.3,5907.0,160.37,35501.0,290.0,41698.0
Bankura,182.06,5432.0,197.43,30280.0,619.0,36331.0
Birbhum,420.54,15955.0,438.24,46574.0,673.0,63202.0
Cooch Behar,136.63,5393.0,156.33,20051.0,712.0,26156.0
Dakshin Dinajpur,166.39,5687.0,171.55,39479.0,243.0,45409.0
Howrah,436.01,14446.0,458.85,80764.0,762.0,95972.0
Jalpaiguri,298.07,10764.0,327.7,62247.0,1032.0,74043.0
Jhargram,49.06,1295.0,52.44,8005.0,158.0,9458.0
Kalimpong,4.22,250.0,4.27,132.0,10.0,392.0
Kolkata,458.3,13509.0,488.35,69662.0,1957.0,85128.0
Malda,353.8,10571.0,364.37,83803.0,484.0,94858.0
Murshidabad,859.7,32863.0,891.66,197965.0,1220.0,232048.0
Nadia,529.08,17104.0,549.2,110693.0,1213.0,129010.0
North 24 Parganas,646.61,24560.0,693.65,135957.0,1499.0,162016.0
Paschim Medinipur,369.78,11509.0,402.63,50391.0,1385.0,63285.0
Purba Bardhaman,465.86,14731.0,478.23,54546.0,1124.0,70401.0
Purba Medinipur,447.33,13627.0,505.18,68545.0,1313.0,83485.0
South 24 Parganas,449.29,15010.0,465.62,112848.0,1224.0,129082.0
Uttar Dinajpur,168.1,4986.0,176.47,42293.0,312.0,47591.0
