district,amount,kcc_disbursement_during_01_04_2021_to_30_09_2021_fresh_renewal_no,kcc_outstanding_as_on_30_09_2021_no,of_achievement_no,target_no
Alipurduar,189.94,7616.0,26625.0,19.78,38500.0
Bankura,671.24,69723.0,167006.0,35.21,198000.0
Birbhum,627.34,143576.0,137543.0,59.82,240000.0
Cooch Behar,1589.33,40355.0,192860.0,21.24,190000.0
Dakshin Dinajpur,826.41,39265.0,196220.0,34.14,115000.0
Darjeeling,191.11,6812.0,20604.0,36.82,18500.0
Hooghly,1048.44,136601.0,93420.0,34.58,395000.0
Howrah,347.41,29553.0,71760.0,31.11,95000.0
Jalpaiguri,793.46,16701.0,92011.0,41.75,40000.0
Jhargram,128.87,24837.0,55095.0,45.16,55000.0
Kalimpong,59.19,6735.0,9961.0,67.35,10000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,644.4,34872.0,140765.0,31.7,110000.0
Murshidabad,473.72,57341.0,89865.0,60.36,95000.0
Nadia,876.5,37325.0,184152.0,33.93,110000.0
Paschim Bardhaman,161.68,8275.0,16807.0,33.1,25000.0
Paschim Medinipur,1702.12,78175.0,360147.0,31.91,245000.0
Purba Bardhaman,2283.19,129757.0,505560.0,46.34,280000.0
Purba Medinipur,1816.08,357800.0,564414.0,47.71,750000.0
Purulia,243.45,30949.0,98427.0,88.43,35000.0
Uttar Dinajpur,1025.12,20107.0,305069.0,36.56,55000.0
