district,advance,cd_ratio,cd_ratio_as_on_march_2021,cd_ratio_as_on_september_2021_deposit
Alipurduar,3077.56,46.1,48.18,6676.31
Bankura,5778.0,46.13,45.01,12526.0
Birbhum,6810.94,40.41,41.09,16853.07
Cooch Behar,6777.14,72.01,77.36,9411.22
Dakshin Dinajpur,2853.47,61.02,62.21,4676.47
Darjeeling,12072.21,57.82,64.4,20878.05
Hooghly,14936.37,31.61,27.08,47254.74
Howrah,19624.83,42.12,41.86,46590.94
Jalpaiguri,4501.53,46.77,59.09,9624.88
Jhargram,1702.72,40.02,40.03,4255.17
Kalimpong,714.29,40.09,40.04,1781.51
Kolkata,237321.44,60.01,64.06,395438.87
Malda,7052.65,56.54,55.83,12472.79
Murshidabad,9678.23,42.83,42.62,22597.67
Nadia,15825.2,49.75,50.02,31810.61
North 24 Parganas,58651.16,39.7,35.01,147725.8
Paschim Bardhaman,17228.16,41.66,41.59,41358.43
Paschim Medinipur,11361.94,44.61,43.37,25470.61
Purba Bardhaman,12484.02,47.82,45.58,26108.65
Purba Medinipur,12603.16,44.55,42.65,28290.22
Purulia,4011.0,47.67,54.58,8414.0
South 24 Parganas,17501.68,44.74,44.44,39118.64
Uttar Dinajpur,4795.81,61.63,60.63,7781.36
