district,average_disbursement,of_achievement,target,total_disbursement,total_outstanding,total_sanctioned
Alipurduar,1.31,79.01,12235.0,9667.0,18686.0,6842.0
Bankura,1.54,56.44,29110.0,16430.0,45983.0,11393.0
Birbhum,2.35,40.03,50988.0,20412.0,56254.0,17486.0
Cooch Behar,1.17,95.12,28810.0,27405.0,45227.0,15761.0
Dakshin Dinajpur,0.86,60.15,14598.0,8781.0,19883.0,5906.0
Darjeeling,1.59,82.36,3928.0,3235.0,5032.0,1487.0
Hooghly,1.65,99.01,19739.0,19543.0,37202.0,10640.0
Howrah,1.93,59.28,23863.0,14146.0,31397.0,8280.0
Jalpaiguri,1.33,96.47,14989.0,14460.0,31361.0,11268.0
Jhargram,1.34,59.49,9400.0,5592.0,14714.0,4700.0
Kalimpong,1.62,76.54,1880.0,1439.0,2537.0,566.0
Malda,1.02,68.19,28051.0,19129.0,48546.0,7578.0
Murshidabad,1.11,70.26,31883.0,22400.0,70369.0,12963.0
Nadia,1.12,58.28,24190.0,14098.0,42628.0,8117.0
North 24 Parganas,1.05,61.09,38018.0,23226.0,54551.0,13964.0
Paschim Bardhaman,2.15,41.81,8257.0,3452.0,8432.0,2671.0
Paschim Medinipur,1.55,70.4,29762.0,20952.0,52654.0,16101.0
Purba Bardhaman,2.52,48.05,37805.0,18164.0,47243.0,17453.0
Purba Medinipur,1.81,64.5,43328.0,27948.0,67391.0,17795.0
Purulia,0.99,44.79,20472.0,9169.0,30860.0,5841.0
South 24 Parganas,1.38,86.95,31893.0,27732.0,64720.0,13248.0
Uttar Dinajpur,0.9,90.71,13928.0,12634.0,32105.0,4002.0
