district,achievement_no_wise,amount,amount_wise,forwarded_to_bank_no,mm_claimed_no,mm_disbursed_no,returned_no,sanctioned_no,target_2021_22_no
Alipurduar,12.31,1.24,15.51,153.0,10.0,16.0,40.0,27.0,130.0
Bankura,1.54,1.38,0.8,91.0,3.0,2.0,39.0,8.0,130.0
Birbhum,19.23,0.95,22.39,117.0,20.0,25.0,24.0,33.0,130.0
Cooch Behar,7.69,1.42,5.74,199.0,10.0,10.0,49.0,26.0,130.0
Dakshin Dinajpur,21.67,0.75,48.25,116.0,23.0,26.0,18.0,17.0,120.0
Darjeeling,20.0,0.67,19.93,106.0,17.0,24.0,20.0,19.0,120.0
Hooghly,7.5,1.04,8.7,164.0,8.0,9.0,42.0,25.0,120.0
Howrah,9.17,0.85,8.35,123.0,3.0,11.0,24.0,18.0,120.0
Jalpaiguri,19.17,1.43,21.52,281.0,21.0,23.0,59.0,49.0,120.0
Jhargram,0.83,0.05,0.97,16.0,1.0,1.0,3.0,6.0,120.0
Kalimpong,3.33,0.03,3.88,24.0,5.0,4.0,1.0,7.0,120.0
Kolkata,1.67,0.08,0.84,44.0,1.0,2.0,7.0,3.0,120.0
Malda,6.67,1.58,7.02,157.0,9.0,8.0,54.0,23.0,120.0
Murshidabad,21.74,5.12,27.99,289.0,51.0,55.0,111.0,77.0,253.0
Nadia,6.67,0.8,8.65,95.0,5.0,8.0,12.0,10.0,120.0
North 24 Parganas,39.0,4.1,45.58,519.0,78.0,78.0,105.0,106.0,200.0
Paschim Bardhaman,1.67,0.09,3.93,19.0,1.0,2.0,4.0,2.0,120.0
Paschim Medinipur,10.0,1.25,14.98,214.0,16.0,17.0,39.0,16.0,170.0
Purba Medinipur,35.78,4.45,65.64,697.0,155.0,161.0,123.0,184.0,450.0
Purulia,1.67,0.28,2.07,74.0,5.0,2.0,11.0,11.0,120.0
South 24 Parganas,17.33,3.58,20.23,370.0,54.0,52.0,84.0,88.0,300.0
Uttar Dinajpur,7.5,0.2,6.39,45.0,11.0,9.0,4.0,41.0,120.0
