district,1_year_and_above,6_months_to_1_year,above_60_day_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,5.0,0.0,5.0
Bankura,13.0,9.0,5.0,0.0,27.0
Birbhum,34.0,16.0,4.0,6.0,60.0
Cooch Behar,42.0,6.0,1.0,1.0,50.0
Dakshin Dinajpur,46.0,6.0,2.0,0.0,54.0
Darjeeling,25.0,11.0,3.0,0.0,39.0
Hooghly,118.0,39.0,57.0,7.0,221.0
Howrah,109.0,75.0,28.0,10.0,222.0
Jalpaiguri,23.0,4.0,0.0,0.0,27.0
Jhargram,1.0,2.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,1.0,0.0,1.0
Kolkata,18.0,366.0,4.0,2.0,390.0
Malda,48.0,13.0,2.0,0.0,63.0
Murshidabad,80.0,15.0,3.0,10.0,108.0
Nadia,30.0,4.0,12.0,0.0,46.0
Paschim Bardhaman,36.0,16.0,16.0,6.0,74.0
Paschim Medinipur,67.0,8.0,11.0,0.0,86.0
Purba Bardhaman,62.0,9.0,20.0,9.0,100.0
Purba Medinipur,35.0,25.0,4.0,0.0,64.0
Purulia,7.0,9.0,3.0,2.0,21.0
Uttar Dinajpur,39.0,4.0,0.0,0.0,43.0
