district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,54.19,316.0,2197.0,2599.0,72.39,4796.0,5403.0,7464.0,607.0
Birbhum,73.58,236.0,1258.0,3504.0,68.88,4762.0,4770.0,6925.0,8.0
Cooch Behar,52.57,145.0,1143.0,1267.0,71.21,2410.0,2444.0,3432.0,34.0
Darjeeling,66.02,116.0,755.0,1467.0,75.13,2222.0,2266.0,3016.0,44.0
Hooghly,86.38,276.0,663.0,4206.0,70.14,4869.0,4869.0,6942.0,0.0
Howrah,25.96,637.0,9833.0,3448.0,86.52,13281.0,13934.0,16105.0,653.0
Jalpaiguri,77.4,265.0,965.0,3304.0,82.34,4269.0,4533.0,5505.0,264.0
Malda,54.85,238.0,2087.0,2535.0,74.85,4622.0,5216.0,6969.0,594.0
Nadia,44.75,224.0,2078.0,1683.0,67.55,3761.0,3835.0,5677.0,74.0
North 24 Parganas,58.88,280.0,2326.0,3331.0,81.27,5657.0,5781.0,7113.0,124.0
Purba Bardhaman,59.84,257.0,1816.0,2706.0,69.52,4522.0,4522.0,6505.0,0.0
Purba Medinipur,53.6,240.0,2240.0,2588.0,70.61,4828.0,4877.0,6907.0,49.0
Purulia,64.87,189.0,894.0,1651.0,52.54,2545.0,2545.0,4844.0,0.0
South 24 Parganas,77.64,319.0,1172.0,4069.0,64.11,5241.0,5362.0,8364.0,121.0
Uttar Dinajpur,54.39,224.0,1855.0,2212.0,74.11,4067.0,4147.0,5596.0,80.0
