district,amount,disbursed_no,no_of_active_shgs,sanctioned_no,sponsored_in_fy_21_22,target_fy_21_22_no,total_pending
Alipurduar,0.0,0.0,578.0,0.0,0.0,2.0,0.0
Bankura,0.01,2.0,2323.0,2.0,5.0,5.0,2.0
Birbhum,0.23,11.0,3515.0,11.0,16.0,14.0,1.0
Cooch Behar,0.09,3.0,1656.0,3.0,6.0,10.0,2.0
Dakshin Dinajpur,0.0,0.0,1732.0,0.0,0.0,7.0,0.0
Darjeeling,0.05,3.0,2138.0,3.0,6.0,6.0,1.0
Hooghly,0.02,2.0,5696.0,1.0,5.0,30.0,2.0
Howrah,0.02,1.0,1668.0,1.0,2.0,9.0,1.0
Jalpaiguri,0.03,1.0,1456.0,1.0,1.0,11.0,0.0
Jhargram,0.0,0.0,454.0,0.0,0.0,2.0,0.0
Kalimpong,0.0,0.0,124.0,0.0,0.0,4.0,0.0
Kolkata,0.0,0.0,1457.0,0.0,0.0,5.0,0.0
Malda,0.04,2.0,964.0,2.0,3.0,5.0,1.0
Murshidabad,0.03,2.0,5285.0,2.0,4.0,28.0,1.0
Nadia,0.02,1.0,5754.0,0.0,3.0,18.0,1.0
North 24 Parganas,0.02,1.0,15576.0,2.0,5.0,63.0,1.0
Paschim Bardhaman,0.0,0.0,2745.0,0.0,0.0,10.0,0.0
Paschim Medinipur,0.0,0.0,3775.0,0.0,2.0,18.0,1.0
Purba Bardhaman,0.04,6.0,3252.0,5.0,10.0,16.0,2.0
Purba Medinipur,0.07,2.0,3344.0,2.0,3.0,14.0,1.0
Purulia,0.06,2.0,1230.0,2.0,4.0,8.0,1.0
South 24 Parganas,0.0,0.0,3489.0,0.0,1.0,14.0,1.0
Uttar Dinajpur,0.0,0.0,2068.0,0.0,0.0,11.0,0.0
