District,cd_ratio
Chittoor,69.71
East Godavari,123.51
Guntur,139.73
Krishna,148.11
Kurnool,131.47
Prakasam,169.17
Spsr Nellore,138.74
Srikakulam,106.48
Visakhapatanam,131.13
Vizianagaram,117.64
West Godavari,150.93
Y.s.r.,108.25
