District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
Eastern West Khasi Hills,0,0,0,0,38.5,41,35.19,16,2188.25,1095
East Garo Hills,0,0,0,0,305.59,397,90.42,74,986.21,934
East Jaintia Hills,0,0,0,0,4.84,3,4.84,3,2385.12,1416
East Khasi Hills,24.59,23,45.95,36,192.95,217,99.23,45,4515.03,3124
North Garo Hills,0,0,0,0,200.81,334,54.14,62,1085.11,1032
Ri Bhoi,0,0,0,0,48.77,52,75.91,70,2646.26,1871
South Garo Hills,1.28,1,2.53,5,232.05,297,53.39,90,699.24,756
South West Garo Hills,0,0,0,0,61.52,69,27.41,32,1355.89,940
South West Khasi Hills,0,0,0,0,26.39,19,40.01,23,1212.02,788
West Garo Hills,21.99,25,33.16,45,377.93,438,121.4,154,2899.77,2331
West Jaintia Hills,11.84,8,29.14,15,102.05,57,14.07,13,3203.19,1821
West Khasi Hills,0,0,1.11,2,5.12,11,10.87,12,2304.79,1089
