District,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
Eastern West Khasi Hills,23.87,1,120.04,90,2.59,2,42.3,87,38.04,124,309.71,776
East Garo Hills,0,0,702.51,1006,12.62,7,558.96,1609,45.83,84,580.19,1355
East Jaintia Hills,91.61,9,701.68,185,13.58,9,117.39,280,9.56,26,37.93,52
East Khasi Hills,955.53,108,8960.88,3818,894.57,113,1185.15,767,206.93,421,2352.93,4357
North Garo Hills,5.8,1,546.44,769,27.22,11,591.97,1675,44.28,51,1254.11,2666
Ri Bhoi,45.05,6,1021.18,770,87.17,26,777.31,1588,136.73,414,7703.19,12934
South Garo Hills,0,0,488.85,533,5.07,4,501.6,1257,55.11,95,311.99,940
South West Garo Hills,98,3,512.67,391,4.88,2,723.01,2173,27.4,65,1061.13,2621
South West Khasi Hills,1.84,1,193.23,85,0,0,161.21,123,16.2,15,80.63,174
West Garo Hills,151.67,13,2460.21,2325,103.38,32,823.37,2949,261.13,548,2061.24,4622
West Jaintia Hills,321.26,33,1856.27,826,141.68,93,249.66,269,43.36,101,830.16,1453
West Khasi Hills,12.49,2,884.51,429,9.12,3,133.19,421,27.72,40,1693.75,2791
