District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
Eastern West Khasi Hills,1.76,41,35.19,16,2188.25,1095,1122.35,307
East Garo Hills,30.99,397,90.42,74,986.21,934,598.02,362
East Jaintia Hills,0.2,3,4.84,3,2385.12,1416,1751.5,540
East Khasi Hills,4.27,217,99.23,45,4515.03,3124,3399.72,939
North Garo Hills,18.51,334,54.14,62,1085.11,1032,699.08,433
Ri Bhoi,1.84,52,75.91,70,2646.26,1871,1295.76,349
South Garo Hills,33.19,297,53.39,90,699.24,756,215.3,246
South West Garo Hills,4.54,69,27.41,32,1355.89,940,1250.1,322
South West Khasi Hills,2.18,19,40.01,23,1212.02,788,642.34,239
West Garo Hills,13.03,438,121.4,154,2899.77,2331,2001.44,716
West Jaintia Hills,3.19,57,14.07,13,3203.19,1821,2144.02,544
West Khasi Hills,0.22,11,10.87,12,2304.79,1089,1439.7,322
