District,Medium Working Capital A/C,Medium Term Loan Amt,Medium Term Loan A/C,Small Working Capital Amt,Small Working Capital A/C,Small Term Loan Amt,Small Term Loan A/C,Micro Working Capital Amt,Micro Working Capital A/C,Micro Term Loan Amt,Micro Term Loan A/C
East Garo Hills,0,0,0,258.12,6,95.92,5,519.19,121,817.33,372
East Jaintia Hills,0,0,0,1822.1,19,180.29,10,3451.64,258,3527.95,365
East Khasi Hills,11,7867.82,32,12089.48,111,17500.21,193,17070.64,2165,30683.26,4736
North Garo Hills,0,0,0,28.47,6,7.41,1,343.07,152,1014.22,583
Ri Bhoi,4,8008.18,14,3919.65,20,9313.09,50,4908.44,387,12389.82,677
South Garo Hills,0,0,0,1.59,0,4.76,2,106.75,73,366.89,228
West Garo Hills,0,107.5,3,925.87,22,999.71,44,4952.98,739,5764.34,1709
West Jaintia Hills,0,46,1,409.17,6,1211.63,109,1348.19,343,4553.72,885
West Khasi Hills,0,0,0,0,0,7,12,446.45,202,742.45,237
