District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
Eastern West Khasi Hills,6605,7986.51,1405,2167.65
East Garo Hills,5880,10712.48,1722,3810.44
East Jaintia Hills,2876,8573.66,998,2740.74
East Khasi Hills,72350,222203.44,26648,134789.23
North Garo Hills,4089,8781.61,1431,3275.69
Ri Bhoi,29635,51089.46,8658,15311.29
South Garo Hills,1656,5479.78,559,1694.43
South West Garo Hills,4253,6941.47,1121,2417.27
South West Khasi Hills,2691,4717.61,791,1449.94
West Garo Hills,22625,49112.02,6791,15695.49
West Jaintia Hills,11388,25067.56,3451,16002.41
West Khasi Hills,6187,9250.49,1524,2700.4
