District,Aadhaar Seeded No.,Ru Pay Card Activated,Ru Pay Card Issued No.,Deposits Held in A/C Amt,Zero Balance A/C No.,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
Eastern West Khasi Hills,17871,7659,16661,4019.36,1660,38695,23462,15233,5211,33484
East Garo Hills,18652,4634,18738,1055.19,1759,30351,17622,12729,8185,22166
East Jaintia Hills,22977,9297,22750,4027.14,3499,48228,28656,19572,2566,45662
East Khasi Hills,70054,47650,86487,17864.12,18408,175849,101143,74706,60856,114993
North Garo Hills,27610,9992,47149,1394.24,1170,58145,32957,25188,3315,54830
Ri Bhoi,33533,19993,43299,5109.03,5611,76835,46384,30451,12810,64025
South Garo Hills,12954,4908,12523,831.34,1589,26184,14185,11999,7655,18529
South West Garo Hills,30483,8280,36680,1866.34,1673,55250,28791,26459,1447,53803
South West Khasi Hills,10352,7453,13999,1365.8,1460,21841,13706,8135,3673,18168
West Garo Hills,92975,26228,142958,5287.15,13102,210291,120453,89838,23200,187091
West Jaintia Hills,29741,16156,35085,5599.4,5704,78329,50402,27927,20819,57510
West Khasi Hills,17436,8993,22656,2873.26,3142,55179,30487,24692,10300,44879
