District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit During Amount Quarter the Linked,Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,18.88,29,135.65,130,277.94,165,77.81,648,116.5,67,77.59,634
East Jaintia Hills,0.55,9,2393.22,1407,1751.5,540,5.56,184,843,327,1.11,94
East Khasi Hills,0.9,33,3868.38,2580,3204.09,888,250.35,818,1108.13,369,225.75,547
North Garo Hills,6.01,14,231.25,180,474.35,281,204.52,1363,101.05,78,203.92,1334
Ri Bhoi,2.64,81,2461.31,1800,1262.88,310,143.58,507,457,134,134.69,376
South Garo Hills,30.64,72,148.98,196,52.7,55,239.08,767,32.14,35,238.69,749
West Garo Hills,4.42,176,1977.6,1590,1853.07,593,476.16,1912,399.01,209,448.26,1724
West Jaintia Hills,0.63,18,2838.72,1660,2154.68,547,129.55,280,950,275,114.29,105
West Khasi Hills,0.68,35,2243.1,1087,1309.73,290,13.66,102,415.5,115,9.85,46
