District,Amt NPA % Msme,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Total Msme O/S Amt (PS),Total Msme O/S No. (PS),Agri Pct NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
Eastern West Khasi Hills,4.67,155.05,100,3319.02,1424,6.18,392.64,989,6356.08,8488
East Garo Hills,16.85,722.13,1022,4286.14,2100,19.55,1197.6,3055,6126.11,6208
East Jaintia Hills,5.2,801.67,200,15431.5,2376,2.85,178.46,367,6267.66,3417
East Khasi Hills,4.57,11937.51,4009,260986.48,22408,3.2,4639.58,5658,144922.41,30503
North Garo Hills,18.33,553.23,771,3017.78,1864,36.93,1917.58,4403,5192.08,7374
Ri Bhoi,1.41,1140,848,80763.64,5073,28.11,8704.4,14962,30965.87,39389
South Garo Hills,25.53,510.8,547,2000.68,1110,29.02,873.77,2296,3010.69,3785
South West Garo Hills,18.51,645.97,420,3490.21,1467,34.88,1816.42,4861,5206.9,8079
South West Khasi Hills,9.61,205.55,93,2138.41,945,8.22,258.04,312,3138,3402
West Garo Hills,11.24,2680.71,2371,23845.39,8466,20.97,3249.12,8151,15492.09,20005
West Jaintia Hills,8.63,2205.49,891,25555.73,6157,6.22,1264.86,1916,20324.99,7922
West Khasi Hills,18.44,907.02,440,4919.58,2072,24.63,1863.78,3255,7568.38,8904
