District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
Eastern West Khasi Hills,35.29,27,24.24,22,11.05,5,0,0,0,0,0,0
East Garo Hills,520.49,245,349.54,154,170.95,91,0,0,0,0,0,0
East Jaintia Hills,348.77,225,292.78,177,53.79,47,0,0,0,0,2.2,1
East Khasi Hills,4215.65,2491,3005.03,1869,1076.91,602,127.19,12,5.14,1,1.38,7
North Garo Hills,330.95,169,146.32,64,184.63,105,0,0,0,0,0,0
Ri Bhoi,2168.3,1271,1973.58,1192,105.79,68,87.18,7,0,0,1.75,4
South Garo Hills,233.87,132,109.6,55,124.27,77,0,0,0,0,0,0
South West Garo Hills,234.74,169,172.66,123,62.08,46,0,0,0,0,0,0
South West Khasi Hills,23.78,14,21.42,10,2.36,4,0,0,0,0,0,0
West Garo Hills,2235.86,1432,962.02,693,1250.3,733,22.95,5,0,0,0.59,1
West Jaintia Hills,483.45,382,346.84,285,128.94,85,4.9,1,0,0,2.77,11
West Khasi Hills,91.76,56,75.72,31,16.04,25,0,0,0,0,0,0
