District,SUI Pct NPA,SUI NPA No.,SUI O/S Amt,SUI O/S No.,SUI Total Disbursement Amt (CY),SUI Total Disbursement No. (CY),ST Male Account Amt (CY),ST Male Account No. (CY),SC Male Account Amt (CY),SC Male Account No. (CY),Female Account Amt (CY),Female Account No. (CY)
East Garo Hills,43.14,1,43.95,4,21.33,2,0,0,0,0,21.33,2
East Jaintia Hills,6.92,4,1434.97,58,389.5,12,264,7,0,0,125.5,5
East Khasi Hills,5.68,14,4321.62,292,2036.42,125,1158.27,66,37.57,5,840.58,54
North Garo Hills,0,0,20.21,2,26.06,2,10.06,1,0,0,16,1
Ri Bhoi,4.22,5,1109.79,54,391.08,23,176.51,8,0,0,214.57,15
South Garo Hills,0,0,42.88,3,13.8,1,0,0,0,0,13.8,1
South West Garo Hills,4.01,1,296.97,11,158.78,4,0,0,0,0,158.78,4
South West Khasi Hills,0,0,19.92,1,0,0,0,0,0,0,0,0
West Garo Hills,8.14,6,930.04,63,640.69,46,137.96,14,0,0,502.73,32
West Jaintia Hills,12.24,3,491.58,35,238.91,11,62.17,2,0,0,176.74,9
West Khasi Hills,100,3,18.85,3,11,1,0,0,0,0,11,1
