district,advance_amount_a,current_c_d_ratio,deposit_amount_d
Baksa,33590.61,47.85,70202.52
Barpeta,175061.62,56.05,312319.67
Biswanath,51057.03,50.7,100700.42
Bongaigaon,96103.25,43.23,222318.20
Cachar,240517.22,36.41,660589.21
Charaideo,23289.91,39.99,58238.58
Chirang,32898.70,34.32,95857.36
Darrang,86894.53,55.67,156083.98
Dhemaji,50844.75,52.32,97187.00
Dhubri,104785.45,45.72,229196.10
Dibrugarh,948.43,29.93,3168.63
Goalpara,63458.15,40.33,157362.91
Golaghat,160985.23,60.64,265460.22
Hailakandi,42950.47,33.92,126604.99
Hojai,57718.34,35.8,161219.65
Jorhat,261047.50,49.2,530540.59
Kamrup,292081.23,58.08,502855.67
Kamrup Metro,1088038.48,36.46,2984448.67
Karbi Anglong,69034.70,45.93,150320.23
Karimganj,83708.65,29.96,279377.62
Kokrajhar,57435.73,26.76,214652.06
Lakhimpur,124313.88,63.6,195465.32
Majuli,9812.90,44.13,22233.91
Nagaon,243553.12,51.94,468954.78
Nalbari,95535.03,46.48,205555.86
Sivasagar,184084.39,46.11,399242.30
Sonitpur,206738.38,49.13,420798.74
Tinsukia,236001.75,41.49,568826.69
Udalguri,57940.46,61.02,94947.02
