district,bc,rural_atm,rural_br,semi_urban_atm,semi_urban_br,total_atm,total_br,urban_atm,urban_br
Baksa,162,19,33,3,2,22,35,0,0
Barpeta,421,70,50,77,40,150,92,3,2
Biswanath,58,18,28,31,6,51,34,2,0
Bongaigaon,142,39,19,73,31,114,51,2,1
Cachar,352,58,61,27,12,216,129,131,56
Charaideo,48,11,14,7,6,18,20,0,0
Chirang,117,6,16,6,5,12,21,0,0
Darrang,229,44,26,49,24,99,51,6,1
Dhemaji,179,25,17,20,16,46,34,1,1
Dhubri,390,37,27,59,31,96,59,0,1
Dibrugarh,1,0,0,0,0,1,1,1,1
Goalpara,270,22,29,39,23,66,52,5,0
Golaghat,240,39,47,63,42,106,90,4,1
Hailakandi,182,22,16,33,19,55,36,0,1
Hojai,69,17,15,7,17,25,33,1,1
Jorhat,219,54,47,111,42,197,115,32,26
Kamrup,318,119,92,46,21,165,113,0,0
Kamrup Metro,84,10,4,17,6,569,194,542,184
Karbi Anglong,113,13,53,25,17,39,71,1,1
Karimganj,193,31,40,57,29,93,70,5,1
Kokrajhar,172,13,21,39,18,52,39,0,0
Lakhimpur,242,42,38,51,30,94,69,1,1
Majuli,7,3,5,2,1,5,6,0,0
Nagaon,671,77,58,68,30,221,117,76,29
Nalbari,162,42,45,51,20,95,66,2,1
Sivasagar,199,55,36,86,43,144,82,3,3
Sonitpur,289,76,55,131,49,209,111,2,7
Tinsukia,273,70,53,50,41,201,131,81,37
Udalguri,233,11,23,25,10,37,34,1,1
