district,apy_cumml_no,apy_no,pmjdy_cumml_no,pmjdy_no,pmjjby_cumml_no,pmjjby_no,pmsby_cumml_no,pmsby_no
Goalpara,18,0,5657,1,179,3,336,1
Jorhat,43,0,3083,18,683,10,7437,5
