table_id,state,indicator,file,codepath,quarters_present,usable_run,fill_pct,last_quarter,int_score,use_score,arr_score,integrity_flags,useful_flags,arrange_flags,unit_declared,unit_source,tier,verify_n,error_rate_ub95,disposition,recon_checks,recon_fails,recon_fail_rate
andhra-pradesh__annual_credit_plan,andhra-pradesh,annual_credit_plan,andhra-pradesh_annual_credit_plan.csv,hybrid,3,1,42.4,December 2021,100,25,25,,SPARSE;NO_TREND;STALE,ORPHAN_COL;DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
andhra-pradesh__branch_network,andhra-pradesh,branch_network,andhra-pradesh_branch_network.csv,hybrid,3,1,81.7,December 2021,75,25,50,TRANSIENT_GAP,NO_TREND;STALE;NO_UNITS,DATE_FORMAT;FY_NULL,n/a,no-money-cols,,,,,0,0,
andhra-pradesh__credit_deposit_ratio,andhra-pradesh,credit_deposit_ratio,andhra-pradesh_credit_deposit_ratio.csv,hybrid,20,8,39.5,June 2024,75,25,50,TRANSIENT_GAP,SPARSE;STALE;NO_UNITS,DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,29,0,0.0
andhra-pradesh__priority_sector,andhra-pradesh,priority_sector,andhra-pradesh_priority_sector.csv,hybrid,3,1,53.2,December 2021,100,50,50,,NO_TREND;STALE,DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
andhra-pradesh__shg,andhra-pradesh,shg,andhra-pradesh_shg.csv,hybrid,1,1,100.0,June 2019,100,25,50,,NO_TREND;STALE;NO_UNITS,DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__aadhaar_authentication,arunachal-pradesh,aadhaar_authentication,arunachal-pradesh_aadhaar_authentication.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__acp_disbursement_agri,arunachal-pradesh,acp_disbursement_agri,arunachal-pradesh_acp_disbursement_agri.csv,A/raw,13,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__acp_disbursement_msme,arunachal-pradesh,acp_disbursement_msme,arunachal-pradesh_acp_disbursement_msme.csv,A/raw,13,5,53.4,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__acp_disbursement_non_ps,arunachal-pradesh,acp_disbursement_non_ps,arunachal-pradesh_acp_disbursement_non_ps.csv,A/raw,13,5,81.5,March 2025,100,75,50,,TARGET_ONLY,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__acp_disbursement_other_ps,arunachal-pradesh,acp_disbursement_other_ps,arunachal-pradesh_acp_disbursement_other_ps.csv,A/raw,13,5,74.9,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__acp_priority_sector_os_npa,arunachal-pradesh,acp_priority_sector_os_npa,arunachal-pradesh_acp_priority_sector_os_npa.csv,A/raw,1,1,100.0,March 2021,100,25,50,,NO_TREND;STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__acp_target_achievement,arunachal-pradesh,acp_target_achievement,arunachal-pradesh_acp_target_achievement.csv,A/raw,13,5,66.7,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,lakh (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__agri_npa,arunachal-pradesh,agri_npa,arunachal-pradesh_agri_npa.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__agri_outstanding,arunachal-pradesh,agri_outstanding,arunachal-pradesh_agri_outstanding.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__anky_anby,arunachal-pradesh,anky_anby,arunachal-pradesh_anky_anby.csv,A/raw,4,2,43.0,March 2025,100,25,50,,SPARSE;NO_TREND;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__anppy_anmpy,arunachal-pradesh,anppy_anmpy,arunachal-pradesh_anppy_anmpy.csv,A/raw,4,3,49.8,March 2025,100,25,50,,SPARSE;NO_TREND;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__atmanirbhar_street_vendors,arunachal-pradesh,atmanirbhar_street_vendors,arunachal-pradesh_atmanirbhar_street_vendors.csv,A/raw,1,1,79.1,March 2021,100,50,25,,NO_TREND;STALE,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,lakh (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__branch_network,arunachal-pradesh,branch_network,arunachal-pradesh_branch_network.csv,A/raw,13,5,39.5,March 2025,100,50,50,,SPARSE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,69,0,0.0
arunachal-pradesh__credit_deposit_ratio,arunachal-pradesh,credit_deposit_ratio,arunachal-pradesh_credit_deposit_ratio.csv,A/raw,15,5,63.1,March 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,982,0,0.0
arunachal-pradesh__digital_transactions,arunachal-pradesh,digital_transactions,arunachal-pradesh_digital_transactions.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__education_loan,arunachal-pradesh,education_loan,arunachal-pradesh_education_loan.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__fi_kcc,arunachal-pradesh,fi_kcc,arunachal-pradesh_fi_kcc.csv,A/raw,13,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__flc_report,arunachal-pradesh,flc_report,arunachal-pradesh_flc_report.csv,A/raw,17,5,46.0,March 2025,75,50,50,TRANSIENT_GAP,SPARSE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__govt_sponsored_npa,arunachal-pradesh,govt_sponsored_npa,arunachal-pradesh_govt_sponsored_npa.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__housing_pmay,arunachal-pradesh,housing_pmay,arunachal-pradesh_housing_pmay.csv,A/raw,13,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__investment_credit_agri_disbursement,arunachal-pradesh,investment_credit_agri_disbursement,arunachal-pradesh_investment_credit_agri_disbursement.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__investment_credit_agri_outstanding,arunachal-pradesh,investment_credit_agri_outstanding,arunachal-pradesh_investment_credit_agri_outstanding.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__jlg,arunachal-pradesh,jlg,arunachal-pradesh_jlg.csv,A/raw,13,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__kcc,arunachal-pradesh,kcc,arunachal-pradesh_kcc.csv,A/raw,4,3,52.4,March 2022,100,50,50,,NO_TREND;STALE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__minority_disbursement,arunachal-pradesh,minority_disbursement,arunachal-pradesh_minority_disbursement.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__minority_outstanding,arunachal-pradesh,minority_outstanding,arunachal-pradesh_minority_outstanding.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__msme_npa,arunachal-pradesh,msme_npa,arunachal-pradesh_msme_npa.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__msme_outstanding,arunachal-pradesh,msme_outstanding,arunachal-pradesh_msme_outstanding.csv,A/raw,13,4,50.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__non_ps_npa,arunachal-pradesh,non_ps_npa,arunachal-pradesh_non_ps_npa.csv,A/raw,13,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__non_ps_outstanding,arunachal-pradesh,non_ps_outstanding,arunachal-pradesh_non_ps_outstanding.csv,A/raw,12,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__nrlm,arunachal-pradesh,nrlm,arunachal-pradesh_nrlm.csv,A/raw,13,5,59.3,March 2025,100,50,25,,TARGET_ONLY;NO_UNITS,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,lakh (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__nulm,arunachal-pradesh,nulm,arunachal-pradesh_nulm.csv,A/raw,1,1,100.0,March 2021,100,25,50,,NO_TREND;STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__other_ps_npa,arunachal-pradesh,other_ps_npa,arunachal-pradesh_other_ps_npa.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__other_ps_outstanding,arunachal-pradesh,other_ps_outstanding,arunachal-pradesh_other_ps_outstanding.csv,A/raw,13,5,87.5,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__pmegp,arunachal-pradesh,pmegp,arunachal-pradesh_pmegp.csv,A/raw,14,4,30.3,March 2025,75,75,25,NEGATIVE,SPARSE,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,lakh (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__pmfme,arunachal-pradesh,pmfme,arunachal-pradesh_pmfme.csv,A/raw,10,4,66.7,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,lakh (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__pmjdy,arunachal-pradesh,pmjdy,arunachal-pradesh_pmjdy.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__pmmy_mudra_disbursement,arunachal-pradesh,pmmy_mudra_disbursement,arunachal-pradesh_pmmy_mudra_disbursement.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__pmmy_mudra_os_npa,arunachal-pradesh,pmmy_mudra_os_npa,arunachal-pradesh_pmmy_mudra_os_npa.csv,A/raw,13,5,98.6,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__sc_st_finance,arunachal-pradesh,sc_st_finance,arunachal-pradesh_sc_st_finance.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__shg,arunachal-pradesh,shg,arunachal-pradesh_shg.csv,A/raw,13,5,55.1,March 2025,75,50,25,TRANSIENT_GAP,TARGET_ONLY;NO_UNITS,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,lakh (high),deposit_per_branch,,,,,0,0,
arunachal-pradesh__social_security,arunachal-pradesh,social_security,arunachal-pradesh_social_security.csv,A/raw,13,5,89.7,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__sui,arunachal-pradesh,sui,arunachal-pradesh_sui.csv,A/raw,1,1,100.0,March 2021,100,25,50,,NO_TREND;STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__uncategorized,arunachal-pradesh,uncategorized,arunachal-pradesh_uncategorized.csv,A/raw,5,2,24.5,March 2021,100,25,50,,SPARSE;NO_TREND;STALE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__weaker_section_os,arunachal-pradesh,weaker_section_os,arunachal-pradesh_weaker_section_os.csv,A/raw,13,5,100.0,March 2025,100,100,50,,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
arunachal-pradesh__women_finance,arunachal-pradesh,women_finance,arunachal-pradesh_women_finance.csv,A/raw,13,5,100.0,March 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__aadhaar_authentication,assam,aadhaar_authentication,assam_aadhaar_authentication.csv,A/raw,21,13,93.0,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__acp_disbursement_agri,assam,acp_disbursement_agri,assam_acp_disbursement_agri.csv,A/raw,21,13,97.9,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__acp_disbursement_msme,assam,acp_disbursement_msme,assam_acp_disbursement_msme.csv,A/raw,21,13,90.6,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__acp_disbursement_non_ps,assam,acp_disbursement_non_ps,assam_acp_disbursement_non_ps.csv,A/raw,21,13,98.3,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__acp_disbursement_other_ps,assam,acp_disbursement_other_ps,assam_acp_disbursement_other_ps.csv,A/raw,21,13,49.8,September 2025,75,75,50,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__acp_priority_sector_os_npa,assam,acp_priority_sector_os_npa,assam_acp_priority_sector_os_npa.csv,A/raw,21,13,53.6,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__acp_target_achievement,assam,acp_target_achievement,assam_acp_target_achievement.csv,A/raw,21,13,29.4,September 2025,75,75,50,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__agri_npa,assam,agri_npa,assam_agri_npa.csv,A/raw,26,13,52.0,September 2025,75,75,25,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,n/a,no-money-cols,,,,,0,0,
assam__agri_outstanding,assam,agri_outstanding,assam_agri_outstanding.csv,A/raw,21,13,82.4,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__branch_network,assam,branch_network,assam_branch_network.csv,A/raw,2,1,51.2,March 2024,100,0,50,,NO_TREND;PARTIAL_DISTRICTS;STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__credit_deposit_ratio,assam,credit_deposit_ratio,assam_credit_deposit_ratio.csv,A/raw,19,7,46.8,September 2025,75,50,50,TRANSIENT_GAP,SPARSE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,616,0,0.0
assam__crop_insurance,assam,crop_insurance,assam_crop_insurance.csv,A/raw,19,7,40.6,September 2025,75,75,50,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__dcc_meetings,assam,dcc_meetings,assam_dcc_meetings.csv,A/raw,12,7,27.9,September 2025,100,50,50,,SPARSE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__digital_transactions,assam,digital_transactions,assam_digital_transactions.csv,A/raw,21,13,97.8,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__education_loan,assam,education_loan,assam_education_loan.csv,A/raw,28,13,39.9,September 2025,75,75,50,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__fi_kcc,assam,fi_kcc,assam_fi_kcc.csv,A/raw,20,13,82.2,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__flc_report,assam,flc_report,assam_flc_report.csv,A/raw,14,14,90.1,September 2025,100,75,50,,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__govt_sponsored_npa,assam,govt_sponsored_npa,assam_govt_sponsored_npa.csv,A/raw,21,13,98.4,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__housing_pmay,assam,housing_pmay,assam_housing_pmay.csv,A/raw,27,13,54.6,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__investment_credit_agri_disbursement,assam,investment_credit_agri_disbursement,assam_investment_credit_agri_disbursement.csv,A/raw,21,13,82.5,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__investment_credit_agri_outstanding,assam,investment_credit_agri_outstanding,assam_investment_credit_agri_outstanding.csv,A/raw,21,13,89.6,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__jlg,assam,jlg,assam_jlg.csv,A/raw,21,13,94.1,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__kcc,assam,kcc,assam_kcc.csv,A/raw,28,13,40.1,September 2025,75,75,50,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__kcc_crop,assam,kcc_crop,assam_kcc_crop.csv,A/raw,2,2,99.9,September 2025,100,75,50,,NO_TREND,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__minority,assam,minority,assam_minority.csv,A/raw,7,7,60.2,March 2020,100,50,50,,STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__minority_disbursement,assam,minority_disbursement,assam_minority_disbursement.csv,A/raw,21,13,93.9,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__minority_outstanding,assam,minority_outstanding,assam_minority_outstanding.csv,A/raw,21,13,94.8,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__msme_npa,assam,msme_npa,assam_msme_npa.csv,A/raw,21,13,97.5,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__msme_outstanding,assam,msme_outstanding,assam_msme_outstanding.csv,A/raw,21,13,82.2,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
