table_id,state,quarter,district,deposit,advance,cd_ratio_reported,cd_ratio_raw_advdep,cause,severity,disposition,action
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Balod,32.0,46.0,1.0,143.8,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Baloda Bazar,18.0,69.0,1.0,383.3,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Balrampur,16.0,15.0,0.0,93.8,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Bastar,17.0,4.0,84.0,23.5,parse_misalign,HIGH,quarantine,re-extract table + dual-verify vs source PDF
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Bemetara,20.0,32.0,1.0,160.0,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Bijapur,8.0,10.0,0.0,125.0,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Bilaspur,25.0,30.0,259.0,120.0,parse_misalign,HIGH,quarantine,re-extract table + dual-verify vs source PDF
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Dantewada,6.0,42.0,0.0,700.0,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Dhamtari,18.0,23.0,46.0,127.8,parse_misalign,HIGH,quarantine,re-extract table + dual-verify vs source PDF
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Durg,47.0,28.0,370.0,59.6,parse_misalign,HIGH,quarantine,re-extract table + dual-verify vs source PDF
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Gariaband,18.0,23.0,0.0,127.8,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Jashpur,9.0,45.0,2.0,500.0,parse_misalign,HIGH,quarantine,re-extract table + dual-verify vs source PDF
chhattisgarh__credit_deposit_ratio,chhattisgarh,December 2022,Kabirdham,14.0,53.0,1.0,378.6,garbage_row,HIGH,quarantine,whole-row re-extract (deposit/advance also implausible)
