table_id,state,category,check,n_checked,n_fail,fail_rate,err_ub95,examples
andhra-pradesh__credit_deposit_ratio,andhra-pradesh,credit_deposit_ratio,ratio,29,0,0.0,11.7,
arunachal-pradesh__branch_network,arunachal-pradesh,branch_network,adv_area_sum,23,0,0.0,14.3,
arunachal-pradesh__branch_network,arunachal-pradesh,branch_network,dep_area_sum,23,0,0.0,14.3,
arunachal-pradesh__branch_network,arunachal-pradesh,branch_network,ratio,23,0,0.0,14.3,
arunachal-pradesh__credit_deposit_ratio,arunachal-pradesh,credit_deposit_ratio,adv_area_sum,319,0,0.0,1.2,
arunachal-pradesh__credit_deposit_ratio,arunachal-pradesh,credit_deposit_ratio,dep_area_sum,319,0,0.0,1.2,
arunachal-pradesh__credit_deposit_ratio,arunachal-pradesh,credit_deposit_ratio,ratio,344,0,0.0,1.1,
assam__credit_deposit_ratio,assam,credit_deposit_ratio,ratio,616,0,0.0,0.6,
bihar__credit_deposit_ratio,bihar,credit_deposit_ratio,ratio,266,0,0.0,1.4,
bihar__credit_deposit_ratio_2,bihar,credit_deposit_ratio_2,ratio,38,0,0.0,9.2,
chhattisgarh__credit_deposit_ratio,chhattisgarh,credit_deposit_ratio,ratio,451,26,5.8,8.3,Balod December 2022: adv/dep=143.8 vs cdr=1.0 | Baloda Bazar December 2022: adv/dep=383.3 vs cdr=1.0 | Balrampur December 2022: adv/dep=93.8 vs cdr=0.0
delhi__credit_deposit_ratio,delhi,credit_deposit_ratio,ratio,143,11,7.7,13.2,Central September 2023: adv/dep=97.4 vs cdr=86.3 | East September 2023: adv/dep=91.3 vs cdr=36.8 | New Delhi September 2023: adv/dep=54.9 vs cdr=215.9
gujarat__credit_deposit_ratio,gujarat,credit_deposit_ratio,ratio,1134,0,0.0,0.3,
haryana__credit_deposit_ratio,haryana,credit_deposit_ratio,ratio,806,5,0.6,1.4,Bhiwani December 2014: adv/dep=81.3 vs cdr=71.9 | Bhiwani March 2015: adv/dep=117.9 vs cdr=111.7 | Bhiwani June 2015: adv/dep=117.9 vs cdr=111.7
himachal-pradesh__credit_deposit_ratio,himachal-pradesh,credit_deposit_ratio,ratio,12,0,0.0,24.3,
jammu-kashmir__credit_deposit_ratio,jammu-kashmir,credit_deposit_ratio,ratio,120,0,0.0,3.1,
jharkhand__credit_deposit_ratio,jharkhand,credit_deposit_ratio,ratio,204,51,25.0,31.4,Bokaro September 2024: adv/dep=59.0 vs cdr=38.0 | Dhanbad September 2024: adv/dep=41.4 vs cdr=37.7 | East Singhbhum September 2024: adv/dep=72.2 vs cdr=56.3
karnataka__cd_ratio,karnataka,cd_ratio,ratio,58,0,0.0,6.2,
karnataka__credit_deposit_ratio,karnataka,credit_deposit_ratio,ratio,31,0,0.0,11.0,
kerala__credit_deposit_ratio,kerala,credit_deposit_ratio,ratio,111,2,1.8,6.3,Kollam January 2013: adv/dep=7.4 vs cdr=74.3 | Thiruvananthapuram January 2013: adv/dep=27.9 vs cdr=70.9
