table_id,check,quarter,district,cause,detail
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Balod,garbage_ratio_field,adv/dep=143.8 vs cdr=1.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Baloda Bazar,garbage_ratio_field,adv/dep=383.3 vs cdr=1.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Balrampur,garbage_ratio_field,adv/dep=93.8 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Bastar,parse_misalign,adv/dep=23.5 vs cdr=84.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Bemetara,garbage_ratio_field,adv/dep=160.0 vs cdr=1.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Bijapur,garbage_ratio_field,adv/dep=125.0 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Bilaspur,garbage_ratio_field,adv/dep=120.0 vs cdr=259.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Dantewada,garbage_ratio_field,adv/dep=700.0 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Dhamtari,parse_misalign,adv/dep=127.8 vs cdr=46.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Durg,garbage_ratio_field,adv/dep=59.6 vs cdr=370.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Gariaband,garbage_ratio_field,adv/dep=127.8 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Janjgir-Champa,unit_mismatch,adv/dep=206.7 vs cdr=2.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Jashpur,parse_misalign,adv/dep=500.0 vs cdr=2.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Kabirdham,garbage_ratio_field,adv/dep=378.6 vs cdr=1.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Kanker,garbage_ratio_field,adv/dep=263.2 vs cdr=1.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Kondagaon,garbage_ratio_field,adv/dep=800.0 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Korba,marginal_definitional,adv/dep=105.6 vs cdr=128.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Korea,parse_misalign,adv/dep=590.0 vs cdr=2.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Mahasamund,garbage_ratio_field,adv/dep=279.2 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Mungeli,parse_misalign,adv/dep=433.3 vs cdr=7.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Narayanpur,garbage_ratio_field,adv/dep=1900.0 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Raigarh,parse_misalign,adv/dep=200.0 vs cdr=90.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Raipur,garbage_ratio_field,adv/dep=98.5 vs cdr=617.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Sukma,garbage_ratio_field,adv/dep=333.3 vs cdr=0.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Surajpur,parse_misalign,adv/dep=318.2 vs cdr=2.0
chhattisgarh__credit_deposit_ratio,ratio,December 2022,Surguja,parse_misalign,adv/dep=5.6 vs cdr=78.0
delhi__credit_deposit_ratio,ratio,September 2023,Central,marginal_definitional,adv/dep=97.4 vs cdr=86.3
delhi__credit_deposit_ratio,ratio,September 2023,East,parse_misalign,adv/dep=91.3 vs cdr=36.8
delhi__credit_deposit_ratio,ratio,September 2023,New Delhi,parse_misalign,adv/dep=54.9 vs cdr=215.9
delhi__credit_deposit_ratio,ratio,September 2023,North,parse_misalign,adv/dep=86.6 vs cdr=44.5
delhi__credit_deposit_ratio,ratio,September 2023,North East,marginal_definitional,adv/dep=63.5 vs cdr=67.6
delhi__credit_deposit_ratio,ratio,September 2023,North West,parse_misalign,adv/dep=120.0 vs cdr=45.9
delhi__credit_deposit_ratio,ratio,September 2023,Shahdara,parse_misalign,adv/dep=105.7 vs cdr=38.3
delhi__credit_deposit_ratio,ratio,September 2023,South,parse_misalign,adv/dep=72.5 vs cdr=30.0
delhi__credit_deposit_ratio,ratio,September 2023,South East,parse_misalign,adv/dep=54.6 vs cdr=82.5
delhi__credit_deposit_ratio,ratio,September 2023,South West,parse_misalign,adv/dep=82.9 vs cdr=33.1
delhi__credit_deposit_ratio,ratio,September 2023,West,parse_misalign,adv/dep=100.1 vs cdr=38.2
haryana__credit_deposit_ratio,ratio,December 2014,Bhiwani,marginal_definitional,adv/dep=81.3 vs cdr=71.9
haryana__credit_deposit_ratio,ratio,March 2015,Bhiwani,marginal_definitional,adv/dep=117.9 vs cdr=111.7
haryana__credit_deposit_ratio,ratio,June 2015,Bhiwani,marginal_definitional,adv/dep=117.9 vs cdr=111.7
haryana__credit_deposit_ratio,ratio,December 2015,Bhiwani,marginal_definitional,adv/dep=80.5 vs cdr=73.0
haryana__credit_deposit_ratio,ratio,June 2016,Bhiwani,marginal_definitional,adv/dep=82.8 vs cdr=76.2
jharkhand__credit_deposit_ratio,ratio,September 2024,Bokaro,parse_misalign,adv/dep=59.0 vs cdr=38.0
jharkhand__credit_deposit_ratio,ratio,September 2024,Dhanbad,marginal_definitional,adv/dep=41.4 vs cdr=37.7
jharkhand__credit_deposit_ratio,ratio,September 2024,East Singhbhum,marginal_definitional,adv/dep=72.2 vs cdr=56.3
