observation_id,release_id,schema_version,state_lgd_code,district_lgd_code,district,boundary_version,boundary_status,period,financial_year,periodicity,indicator_id,value,unit,source_value,source_field_label,source_id,source_artifact,source_table,source_page,missing_reason,quality_status,quality_flags
obs-6157b10060b9aee0fca1,meghalaya-standardized-preview-v1,observations-v1,17,274,East Khasi Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-06-30,2019-20,quarterly,pmjdy_rural_accounts,4765,count,4765,Rural No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-7277867dafef1733ff96,meghalaya-standardized-preview-v1,observations-v1,17,274,East Khasi Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-06-30,2019-20,quarterly,pmjdy_urban_accounts,9123,count,9123,Urban No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-ae4d518e5fb5db355cd4,meghalaya-standardized-preview-v1,observations-v1,17,274,East Khasi Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-06-30,2019-20,quarterly,pmjdy_male_accounts,5432,count,5432,Male No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-177ce3d5d0987bc91f78,meghalaya-standardized-preview-v1,observations-v1,17,274,East Khasi Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-06-30,2019-20,quarterly,pmjdy_female_accounts,8345,count,8345,Female No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-509f8df15e10ef1072ad,meghalaya-standardized-preview-v1,observations-v1,17,274,East Khasi Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-06-30,2019-20,quarterly,pmjdy_deposits_lakh,3.12,INR lakh,3.12,Amt Deposits held in the A/c,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-7c3fe9abf5e4db6b847f,meghalaya-standardized-preview-v1,observations-v1,17,275,West Jaintia Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-09-30,2019-20,quarterly,pmjdy_rural_accounts,0,count,0,Rural No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-0e923d20eceaa79c07fd,meghalaya-standardized-preview-v1,observations-v1,17,275,West Jaintia Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-09-30,2019-20,quarterly,pmjdy_urban_accounts,0,count,0,Urban No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-db5020d213cfa29c15ce,meghalaya-standardized-preview-v1,observations-v1,17,275,West Jaintia Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-09-30,2019-20,quarterly,pmjdy_male_accounts,243,count,243,Male No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-ff235ff67f5d1188d409,meghalaya-standardized-preview-v1,observations-v1,17,275,West Jaintia Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-09-30,2019-20,quarterly,pmjdy_female_accounts,393,count,393,Female No,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
obs-08a30d30d204417344dd,meghalaya-standardized-preview-v1,observations-v1,17,275,West Jaintia Hills,meghalaya-source-districts-11-before-2022-06,not-affected,2019-09-30,2019-20,quarterly,pmjdy_deposits_lakh,615.00,INR lakh,615.00,Amt Deposits held in the A/c,slbc-meghalaya,/slbc-data/meghalaya/meghalaya_complete.json,pmjdy,,,suspect,source_document_unlinked|partial_period_coverage
