District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6
Araria,112801,13846,575494,315986,,
Arwal,18378,1449,131071,164370,,
Aurangabad,72247,5154,541912,489698,,
Banka,102334,840,347733,81158,,
Begusarai,65456,1227,443982,249191,,
Bhagalpur,87273,1069,441216,256964,,
Bhojpur,109258,4942,610241,892446,,
Buxar,2720,363154,367632,,,
Darbhanga,14052,887155,249571,,,
Gaya,917189,1074570,,,,
Gopalganj,804180,134451,,,,
Jamui,129971,150899,,,,
Jehanabad,182943,234066,,,,
Kaimur (Bhabua),303571,812386,,,,
Katihar,844354,215257,,,,
Khagaria,330479,244494,,,,
Kishanganj,491465,263164,,,,
Lakhisarai,211571,72445,,,,
Madhepura,612693,89943,,,,
Madhubani,848438,176300,,,,
Munger,252589,165532,,,,
Muzaffarpur,1098426,539685,,,,
Nalanda,624399,511798,,,,
Nawada,553206,293608,,,,
Pashchim Champaran,61370,1367045,255109,,,
Patna,1415905,1272065,,,,
Purbi Champaran,16227,1213766,234875,,,
Purnia,928756,258214,,,,
Rohtas,694588,874011,,,,
Saharsa,530230,151419,,,,
Samastipur,1041588,618371,,,,
Saran,36,3230203,00000306,15176,1157189,219374
Sheikhpura,516,146274,50570,,,
Sheohar,20503,203672,275167,,,
Sitamarhi,34076,794370,536546,,,
Siwan,28969,993580,174024,,,
Supaul,27044,576091,150727,,,
Vaishali,26932,1167427,245121,,,
