District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,155,425144,,62.21
Arwal,60,167244,,31.51
Aurangabad,185,745973,,47.64
Begusarai,223,863388,,54.12
Bhagalpur,276,1386076,,36.50
Bhojpur,233,1116301,,29.47
Buxar,154,602584,,37.69
Darbhanga,244,1180970,,34.31
Gaya,306,1605716,,38.98
Gopalganj,183,798856,,33.70
Jamui,116,400698,,44.96
Jehanabad,95,344254,,31.04
Kaimur (Bhabua),119,351075,,55.49
Katihar,179,598718,,52.03
Khagaria,114,326730,,56.38
Kishanganj,106,301956,,61.93
Lakhisarai,79,299616,,34.56
Madhepura,111,332591,,52.51
Madhubani,271,883205,,
Munger,129,713814,,26.90
Muzaffarpur,379,1840303,,47.79
Nalanda,251,1040106,,32.62
Nawada,137,499893,,39.76
Pashchim Champaran,205,,,59.70
Patna,925,11936981,,36.81
Purbi Champaran,278,948698,,55.14
Purnia,221,649495,,79.43
Rohtas,226,,,44.45
Saharsa,101,,,44.08
Samastipur,283,,,48.60
Saran,259,,,28.37
Sheikhpura,61,,,34.49
Sheohar,45,,,57.81
Sitamarhi,172,,,41.83
Siwan,244,,,33.88
Supaul,119,,,49.05
Vaishali,242,,,52.19
