District,Rural,Semi-Urban,Urban,Total,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,77,75,155,18,87,108,1536342,721,,
Arwal,40,19,1,60,20,11,1,32,414761,241
Aurangabad,121,37,27,185,44,41,42,127,1736450,708
Banka,74,38,2,114,33,48,2,83,779271,340
Begusarai,85,99,39,223,40,73,65,178,1507060,1520
Bhagalpur,102,92,82,276,46,90,156,292,1533438,2120
Bhojpur,131,54,48,233,41,45,110,196,1632325,1464
Buxar,88,36,30,154,25,16,50,91,1104200,695
Darbhanga,111,66,67,244,50,144,222,2378027,1832,
Gaya,175,40,91,306,84,36,211,331,2825462,2500
Gopalganj,116,63,4,183,47,77,11,135,1816440,869
Jamui,74,39,3,116,14,25,1,40,962237,430
Jehanabad,57,12,26,95,18,9,44,71,713582,411
Kaimur (Bhabua),82,34,3,119,9,50,3,62,1071565,521
Katihar,102,36,41,179,30,22,73,125,1688291,781
Khagaria,55,55,4,114,17,53,9,79,664006,485
Kishanganj,61,24,21,106,13,16,44,73,1096677,456
Lakhisarai,45,33,1,79,4,28,4,36,475324,291
Madhepura,38,72,1,111,10,67,84,1375482,793,
Madhubani,120,148,3,271,47,121,8,176,2457251,1377
Munger,62,27,40,129,22,21,56,99,767929,749
Muzaffarpur,182,82,115,379,93,50,277,420,2902252,4091
Nalanda,147,62,42,251,27,59,80,166,1642096,1089
Nawada,73,61,3,137,8,53,3,64,1362283,505
Pashchim Champaran,94,71,40,205,37,48,73,158,2538809,1109
Purbi Champaran,105,126,47,278,43,57,88,188,3049243,2120
Rohtas,135,44,47,226,22,57,75,154,1943998,1148
Saharsa,51,26,24,101,10,9,74,93,1212176,762
Samastipur,164,118,1,283,49,139,19,207,2459832,1246
Saran,163,49,47,259,46,39,98,183,2774251,1346
Sheikhpura,31,29,61,29,39,337717,151,,,
Sheohar,2408,24,111,45,5,14,5282,24,193216,174
Sitamarhi,68,104,172,34,72,114,1697793,798,,
Siwan,132,64,48,244,50,38,80,168,2027149,1299
Supaul,70,119,26,64,92,1507093,620,,,
Vaishali,137,62,43,242,50,46,124,220,2135413,1680
