District,Col_1,Col_2
Araria,77,98
Arwal,40,87
Aurangabad,121,227
Banka,74,64
Bhojpur,131,185
Buxar,88,133
Gopalganj,116,185
Nalanda,147,291
Nawada,73,159
Rohtas,135,234
