District,ATMs Previous,Opened During Quarter,Closed During Quarter,Total ATMs
Araria,4,26,,
Arwal,0,417636,,
Aurangabad,12,1747661,67584,
Banka,2,788305,12841,
Begusarai,1524881,34183,,
Buxar,3,,,
Darbhanga,2416374,43857,,
Gaya,19,2844523,65002,
Gopalganj,0,1,1843961,13921
Jamui,0,971811,13488,
Jehanabad,1,718550,15195,
Kaimur (Bhabua),2,1077717,53629,
Katihar,2,1712839,40160,
Khagaria,2,0,672198,8272
Kishanganj,2,4,1110666,30515
Lakhisarai,2,1,481139,9471
Madhepura,4,40255,,
Madhubani,1,2487117,80683,
Munger,2,0,4708,
Muzaffarpur,31,2937827,115820,
Nalanda,1,1657317,52076,
Nawada,0,1370494,50141,
Patna,34,9,5628024,50519
Purbi Champaran,14,2,3089485,144664
Purnia,11,4,2411697,64212
Rohtas,0,1959913,57939,
Saharsa,0,1227215,,
Samastipur,8,4,2485930,
Saran,5,2809058,,
Sheikhpura,0,,,
Sheohar,0,,,
Sitamarhi,1719993,,,
Siwan,33,2058118,,
Vaishali,2163135,,,
