district,culture Plantation & Amount horti-,A/C Nos Plantation horticulture &,Farm Amount anization mech-,Farm zation A/C Nos mechani-,Water Amount Resource,Nos source Water A/C Re-,Amt wasteland Forestry and Dev.,A/C wasteland Forestry Nos and Dev.,Crop Amt Loan,Crop A/C Loan
East Garo Hills,0,0,239.72,193,0,0,0,0,497.76,677
East Jaintia Hills,0,0,0.09,3,0,0,0,0,244.77,294
East Khasi Hills,0,0,0.44,4,0,0,18.63,10,2417.93,2718
Eastern West Khasi Hills,0,0,0,0,0,0,2.99,1,543.51,617
North Garo Hills,0,0,0,0,0,0,0,0,613.77,844
Ri Bhoi,45.19,9,0,0,0,0,0,0,3081.57,3574
South Garo Hills,0,0,0,0,0,0,0,0,279.57,358
South West Garo Hills,0,0,4.08,1,0,0,0,0,443.63,553
South West Khasi Hills,0,0,0,0,0,0,0,0,266.14,323
West Garo Hills,0,0,14.96,17,0,0,0,0,834.15,1108
West Jaintia Hills,0,0,0.28,9,0,0,0,0,692.14,725
West Khasi Hills,0,0,0,0,0,0,0,0,599.76,722
