district,SHG Amt. % NPA,Amt. NPA SHG,No. NPA SHG,SHG Amt. O/S,No. O/S SHG,Credit Current Amount FY Linked,FY Linked No Credit Current,FY Amount Linked Current Savings,No FY Linked Savings Current,Credit During Amount Quarter the Linked,ter the No Linked During Credit Quar-,Linked Quarter During the Amount Savings,Linked During Savings Quarter No the
East Garo Hills,3.09,4.83,12,156.08,138,221.68,133,2126.76,648,221.7,134,112.78,648
East Jaintia Hills,0.32,8.72,6,2693.52,1535,155.5,85,0.57,66,155.5,85,0.57,66
East Khasi Hills,1.03,48.61,41,4709.97,2868,410.23,211,304.74,668,410.35,216,304.71,667
North Garo Hills,4.03,12.23,13,303.26,239,211.57,138,255.06,1384,211.57,138,255.06,1384
Ri Bhoi,2.7,71.72,77,2654.35,1834,178.9,73,163.18,408,175.54,72,157.75,372
South Garo Hills,5.3,15.33,44,289,252,53.68,44,230.15,817,54.1,56,230.15,817
West Garo Hills,1.88,48.52,119,2574.27,1998,493.51,283,645.29,1891,493.81,289,645.29,1891
West Jaintia Hills,1.35,41.04,28,3035.86,1733,267.4,106,162.78,226,267.4,106,162.78,226
West Khasi Hills,0.76,18.1,35,2393.27,1138,108.94,41,11.69,75,108.94,41,11.69,75
