district,Sr No,Name of Sch. Comm. Bank selected for allottment of villages <2000 population,No. of allotted village,No. of villages where banking outlet opened upto the end of the quarter March 2025,None,None,None,None,None,None,None
East Garo Hills,B4,MRB,14,0,14,14,14,14,14,14,14
East Jaintia Hills,E7,SBI,49,0,49,49,49,49,49,49,49
South Garo Hills,C3,IPPB,111,0,111,111,111,111,111,111,111
West Garo Hills,A8,IPPB,10,0,10,10,10,10,10,10,10
West Jaintia Hills,F4,HDFC,18,1,18,18,18,18,18,18,18
West Khasi Hills,D5,PNB(e-UBI),73,34,73,73,73,73,73,73,73
