district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY No. BURSED DIS- A/C,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,27.12,167.9,103,619.21,195,0.82,3,34.13,17
East Jaintia Hills,3.68,26.37,11,716.9,146,19.57,5,17.26,4
East Khasi Hills,16.41,1520.09,539,9261.42,1807,236.61,59,383.82,57
Eastern West Khasi Hills,4.51,25.33,22,561.35,134,21.98,6,49.67,6
North Garo Hills,21.64,172.25,103,796.09,251,15.49,5,38.63,5
Ri Bhoi,10.64,221.45,146,2081.02,600,70.64,40,155.76,42
South Garo Hills,24.88,196.57,129,790.16,225,1.79,2,1.87,1
South West Garo Hills,39.48,302.94,145,767.39,254,16.11,4,18.69,4
South West Khasi Hills,10.03,49.07,37,489.2,158,32.52,6,48.88,4
West Garo Hills,20.92,844.11,298,4034.15,938,67.68,16,189.42,54
West Jaintia Hills,9.94,297.88,123,2997.07,784,45.4,19,47.29,14
West Khasi Hills,23.17,155.14,106,669.64,229,18.17,8,43.57,10
