district,Ratio Overall CD,CDR Urban,CDR Urban Semi,CDR Rural,Total vances Ad-,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Dep Rural
East Garo Hills,61.56,71.78,60.43,58.81,36968.42,5370.61,25290.12,6307.69,60056.17,7482.18,41848.13,10725.86
East Jaintia Hills,22.97,,16.07,23.82,39613.65,583.12,4268.19,34762.34,172466.7,0,26556.08,145910.62
East Khasi Hills,44.75,45.54,46.84,37.75,1211388.6,1000860.93,93381.39,117146.28,2707266.71,2197628.95,199346.89,310290.87
Eastern West Khasi Hills,39.93,18,34.3,51.91,21120.49,1207.23,7913.29,11999.97,52896.44,6706.88,23072.17,23117.39
North Garo Hills,73.76,,58,81.93,32727.17,3.98,8802.18,23921.01,44371.39,0,15175.34,29196.05
Ri Bhoi,115.73,118.21,42.45,151.53,283221.13,7099.53,33313.89,242807.71,244725.56,6005.89,78480.29,160239.38
South Garo Hills,61.85,60.63,67.77,52.34,18256.8,2324.8,10932.48,4999.52,29519.53,3834.22,16132.4,9552.91
South West Garo Hills,69.58,,55.8,71.68,27731.11,0,2942.49,24788.62,39854.61,0,5273.45,34581.16
South West Khasi Hills,41.56,,34.97,42.63,14725.66,18.09,1815.02,12892.55,35434.2,0,5190.89,30243.31
West Garo Hills,57.16,46.13,55.87,63.32,164134.27,10069.36,104502.87,49562.04,287164.9,21827.48,187060.33,78277.09
West Jaintia Hills,31.56,25.36,38.69,25.79,97454.63,22043.32,54565.51,20845.8,308785.08,86928.52,141030.88,80825.68
West Khasi Hills,44.74,35.41,50.52,37.74,30730.86,3343.56,19864.62,7522.68,68693.71,9441.39,39320.66,19931.66
