district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
East Garo Hills,108392,56798,16341
East Jaintia Hills,140235,65681,6715
East Khasi Hills,1013389,363094,159380
Eastern West Khasi Hills,102645,51853,2173
North Garo Hills,135906,63615,11565
Ri Bhoi,290850,117748,15557
South Garo Hills,84562,42798,10719
South West Garo Hills,136485,78135,22107
South West Khasi Hills,81473,35961,1722
West Garo Hills,459224,208956,76034
West Jaintia Hills,294375,127327,36492
West Khasi Hills,139432,61767,7303
