district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,436.20,211,3.28,70,4.34,3,0.79,546.22,337
Champhai,806.50,169,12.15,59,20.39,14,1.55,1317.41,416
Hnahthial,57.50,24,0.00,0,0.00,0,0.00,67.48,37
Khawzawl,430.36,128,5.22,5,5.60,3,1.49,375.29,175
Kolasib,444.50,103,15.34,29,67.50,40,9.68,697.12,300
Lawngtlai,261.24,115,25.27,63,22.18,27,7.93,279.79,217
Lunglei,63.00,41,1.13,23,0.00,0,0.00,112.99,91
Mamit,659.20,203,17.25,58,20.25,17,2.42,835.70,390
Saiha,250.52,83,6.85,23,36.76,15,5.80,633.89,331
Saitual,437.50,130,4.98,17,3.05,2,0.53,575.67,217
Serchhip,564.55,156,56.48,85,18.20,10,2.04,890.36,394
