district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,114.85,16,935.83,1575,32503.66,4240,224377.98,40782
Champhai,9.02,3,194.80,605,2166.66,563,19445.87,6870
Hnahthial,1.00,1,0.51,1,840.35,152,7644.28,1572
Khawzawl,12.50,1,12.51,4,1210.50,289,7187.38,2747
Kolasib,98.27,77,223.03,395,3115.01,1110,24297.09,8186
Lawngtlai,0.80,1,96.10,21,4706.61,801,38476.16,7454
Lunglei,18.93,4,205.44,412,6214.38,1088,45347.67,10967
Mamit,0.00,0,9.32,4,1991.22,581,14780.50,5908
Saiha,0.00,1,27.20,6,2090.47,331,15296.86,3443
Saitual,0.00,0,0.00,0,1500.88,449,10623.16,4212
Serchhip,5.90,2,42.94,11,2730.52,732,25542.31,7402
