district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,633.15,244,73,176.95,25.90,27.18,14,2.95,921.12,447,67.80,268,55
Champhai,826.13,176,15,60.00,5.00,22.02,17,1.82,1212.53,394,15.77,51,18
Hnahthial,76.50,28,5,24.00,115.35,0.00,0,0.00,69.74,40,130.07,52,6
Khawzawl,379.89,117,5,22.50,31.36,5.60,3,1.57,357.47,167,32.99,74,51
Kolasib,486.36,121,26,98.50,11.74,63.31,38,8.77,722.08,314,17.01,68,40
Lawngtlai,260.64,113,32,86.44,138.26,22.88,28,8.10,282.38,223,272.57,418,223
Lunglei,63.00,41,13,19.50,100.51,8.57,4,4.41,194.29,133,107.35,123,25
Mamit,662.20,204,60,211.50,1.86,22.32,19,2.49,897.94,442,24.43,85,39
Saiha,298.24,100,58,175.50,33.34,36.27,15,7.87,460.74,276,36.65,44,34
Saitual,447.90,141,26,79.00,2.42,3.05,2,0.50,610.72,233,25.49,95,24
Serchhip,595.00,168,44,169.30,20.93,18.22,11,2.08,874.43,399,25.92,109,34
