district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Aizawl,46164,8457,57,34353,7895
Champhai,7785,230,5,6061,1318
Hnahthial,1687,1,0,2998,2348
Khawzawl,938,2,5,4774,292
Kolasib,8749,84,11,9166,3994
Lawngtlai,12556,139,18,17974,12247
Lunglei,11929,317,22,19729,5575
Mamit,4097,6,6,9814,773
Saiha,5679,185,14,7487,564
Saitual,408,0,1,3133,641
Serchhip,1534,8,2,7876,655
