district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,6,0,132,66,10,192,20,0,100,138,120
Champhai,0,8,0,42,3,45,4,13,0,8,17
Hnahthial,1,1,0,8,4,12,4,1,0,2,5
Khawzawl,2,2,0,23,0,23,6,3,0,4,9
Kolasib,0,11,0,49,4,53,6,15,0,11,21
Lawngtlai,1,5,0,92,0,92,5,7,0,6,12
Lunglei,1,17,0,74,7,81,7,16,0,18,23
Mamit,4,2,0,58,0,58,12,1,0,6,13
Saiha,0,6,0,39,1,40,1,6,0,6,7
Saitual,0,2,0,12,0,12,6,4,0,2,10
Serchhip,1,6,0,48,0,48,8,8,0,7,16
