district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,2121.05,261,2373.91,388,345.37,174,10.88,3175.33,884
Champhai,249.94,43,291.81,48,8.13,4,2.79,291.82,111
Hnahthial,240.60,20,326.01,46,2.37,1,2.91,81.40,22
Khawzawl,351.08,30,416.35,54,16.19,6,14.66,110.42,37
Kolasib,303.10,41,368.69,45,114.10,35,13.48,846.36,193
Lawngtlai,170.36,43,265.80,64,31.48,18,12.11,259.94,141
Lunglei,735.92,136,1148.82,225,48.87,24,5.29,924.20,402
Mamit,200.35,39,346.24,64,40.29,17,8.25,488.52,166
Saiha,86.37,11,104.42,14,38.55,17,21.77,177.04,67
Saitual,248.76,30,331.75,42,3.55,3,0.88,404.04,71
Serchhip,254.13,50,349.66,62,12.22,6,2.16,566.45,169
