district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,5639,4141.65,4441,11320.42,42406639,1069633.97,464862,25299.26,6858265,1852278.67,870609,38191.59
Champhai,444,216.62,9,19.63,2496202,79770.67,35961,1660.70,467467,169947.83,42045,1976.45
Hnahthial,0,0.00,0,0.00,681153,14532.41,127,3.65,224835,4193.65,13344,497.21
Khawzawl,0,0.00,3,1.41,1162504,26781.08,216,3.19,281107,5347.01,24026,1162.79
Kolasib,415,346.52,20,21.45,3978625,90540.03,40298,1799.11,850188,187987.71,63184,2578.92
Lawngtlai,0,0.00,117,547.15,4232149,103700.66,39306,1706.85,884511,22769.68,39624,1741.59
Lunglei,603,124.16,55,106.73,6530504,145350.51,42447,2172.68,1618414,230758.42,98889,4468.68
Mamit,0,0.00,1,0.14,2061307,43321.35,84,2.07,683991,14248.88,34755,1528.86
Saiha,1,0.01,16,15.96,2580298,54295.08,9232,315.85,659647,12522.61,43393,2279.15
Saitual,0,0.00,0,0.00,988135,21459.01,77,2.11,311594,6719.10,18166,764.35
Serchhip,0,0.00,8,18.29,2414163,44459.28,11572,480.17,917054,15492.26,37059,1483.63
