district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,399043,153439,550624
Champhai,56542,14682,82719
Hnahthial,18711,3959,25514
Khawzawl,27049,3952,35335
Kolasib,66548,17480,93336
Lawngtlai,83733,23568,126121
Lunglei,96920,26838,147078
Mamit,54936,9641,75350
Saiha,46424,10501,72148
Saitual,22797,4430,30973
Serchhip,51173,5338,67545
