district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,28624.28,87.82,546196.37,53.80,,44.81,53207.74,0.00,1218873.66,45.19,574908.47,1272081.40
Champhai,4185.01,34100.79,350.03,57.88,69.56,,7230.76,49025.07,0.00,68.68,38635.83,56255.83
Hnahthial,10047.47,1184.33,0.00,58.55,88.78,,17160.01,1333.94,0.00,60.73,11231.80,18493.95
Khawzawl,6563.27,7526.64,0.00,70.53,63.72,,9305.51,11811.27,0.00,66.72,14089.91,21116.78
Kolasib,10123.95,34314.84,36.55,64.78,70.29,,15628.61,48817.88,0.00,69.01,44475.34,64446.49
Lawngtlai,18272.73,41048.14,0.00,131.97,117.21,,13846.48,35021.69,0.00,121.39,59320.87,48868.17
Lunglei,7041.36,74461.26,0.00,51.36,71.27,,13708.81,104474.96,0.00,68.96,81502.62,118183.77
Mamit,23240.91,1921.41,0.00,72.11,111.41,,32229.20,1724.58,0.00,74.11,25162.32,33953.78
Saiha,3708.60,32444.81,0.00,114.22,93.55,,3246.95,34681.40,0.00,95.32,36153.41,37928.35
Saitual,7100.85,8063.79,0.00,41.98,48.98,,16913.56,16464.79,0.00,45.43,15164.64,33378.35
Serchhip,16374.33,19857.01,0.00,68.95,73.62,,23748.88,26972.12,0.00,71.43,36231.34,50721.00
