district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,5383.81,50419,40561,71934,51049,13565,37531,25927,90980,64678
Champhai,1210.97,12662,10718,18509,8382,4960,6231,12976,23380,10406
Hnahthial,534.94,4629,4370,6806,5036,838,3153,8999,8999,0
Khawzawl,950.15,9158,6234,12200,5195,2749,5462,6646,15392,8746
Kolasib,1357.66,13122,9580,16669,11841,3957,8182,14285,22702,8418
Lawngtlai,1710.36,25957,24369,31907,23081,7447,17833,39240,50326,11086
Lunglei,2278.82,30408,30541,38041,23580,13829,19017,37338,60949,23612
Mamit,1526.36,18657,13951,26539,10992,4008,10343,32608,32608,0
Saiha,1180.25,15575,10632,16688,10213,5347,8187,8884,26207,17325
Saitual,997.19,6600,4899,9224,3675,1391,3059,11423,11499,76
Serchhip,1325.95,10979,8535,16391,9164,2302,8491,11722,19514,7792
