district,period,priority_sector__agri_achievement_amt,priority_sector__agri_achievement_pct,priority_sector__agri_target_amt,priority_sector__msme_achievement_amt,priority_sector__msme_achievement_pct,priority_sector__msme_target_amt,priority_sector__ops_achievement_amt,priority_sector__ops_achievement_pct,priority_sector__ops_target_amt,priority_sector__total_ps_achievement_amt,priority_sector__total_ps_achievement_pct,priority_sector__total_ps_target_amt
Amritsar,September 2020,177289.0425525,69.71932953878914,254289.655,163701.3142327,101.83377659453726,160753.45500000002,53379.08,65.75361432463112,81180.45,394369.4367852,79.47414604522204,496223.56
Barnala,September 2020,180699.64,86.77053541416566,208250.0,15522.02,87.20235955056181,17800.0,27836.3675,77.43078581363004,35950.0,224058.02749999997,85.51833110687022,262000.0
Bathinda,September 2020,276333.17000000004,91.23314143437666,302886.83,60817.13999999999,92.20004177849783,65962.161,101111.23999999999,79.10818758917996,127813.875,438261.55,88.24125578979766,496662.8659999999
Faridkot,September 2020,172879.2847,111.34824468633259,155260.0,19252.444,55.08567668097282,34950.0,14111.626299999998,132.5018941667083,10650.13175,206243.35499999998,102.68008549187859,200860.13175
Fatehgarh Sahib,September 2020,97114.29000000001,46.65199418737315,208167.50000000003,68195.39,113.60161451800175,60030.3,3246.23,8.95138852505577,36265.1,168555.91,55.36172387505999,304462.89999999997
Fazilka,September 2020,189150.93,92.64664451123193,204163.82158024996,31364.54,87.94324332091904,35664.524999999994,6243.985,47.95687170102815,13020.000635,226759.45500000002,89.67490692181207,252868.34721525002
Ferozepur,September 2020,269535.60000000003,80.75670030958146,333762.52244920004,30341.379999999997,55.82079177756468,54354.97963,21271.12,84.74550611112409,25099.9976,321148.10000000003,77.7151396592299,413237.4996792
Gurdaspur,September 2020,105676.06000000001,62.19486126991952,169911.24,34282.240000000005,78.23948023897542,43817.06,4028.95,26.02500149375931,15481.075,143987.25000000003,62.81909280543172,229209.375
Hoshiarpur,September 2020,204785.5414784,38.48108158234555,532172.0,121916.75647,139.2992081602806,87521.5,56653.76049,101.73971534524557,55685.0,383356.0584384,56.76166156287178,675378.5
Jalandhar,September 2020,168496.7303921,49.38682368916473,341177.5,226240.38576469198,135.16572216793642,167380.0,149764.87113,98.65116207661721,151812.5767375,544501.987286792,82.45406726738074,660370.0767374999
Kapurthala,September 2020,204934.96537189998,94.50971070177673,216840.11500000002,60947.09277440001,79.27556854889978,76880.045,18250.965650000002,33.18335972558722,55000.355,284133.0237963,81.47872338290738,348720.51499999996
Ludhiana,September 2020,398604.56,44.87515266848207,888252.2650000001,1628483.48,199.5751683568737,815975.0,192501.3,26.19330802918119,734925.5,2219589.34,90.99837336346582,2439152.765
Mansa,September 2020,188999.49,81.47847444983344,231962.48,22566.81,65.8961922560299,34246.0,3873.39,31.883689344363503,12148.5,215439.69000000003,77.39690594430218,278356.98000000004
Moga,September 2020,237633.27,65.55056976323999,362519.0,55694.35,60.50758958394693,92045.23000000001,3394.41,8.060434080547111,42112.0,296722.02999999997,59.74154027866403,496676.23000000004
Pathankot,September 2020,23002.21,65.05977853516426,35355.5,23766.07,90.82285277538931,26167.5,3444.5099999999998,41.95960341620468,8209.11,50212.78999999999,72.00813226503543,69732.11
Patiala,September 2020,412064.7782760495,74.1409958186643,555785.33,188214.09443118967,194.26852146993042,96883.475,147100.0,75.5403930426733,194730.255,747378.8727072391,88.19680218989613,847399.0599999999
Rupnagar,September 2020,69945.33,51.794666163125214,135043.5,20532.49,60.43767109174934,33973.0,7281.071999999999,33.95547264841673,21443.0,97758.89199999999,51.327915908631496,190459.5
S.a.s Nagar,September 2020,62321.32,39.03951949488296,159636.49349774572,86290.4877,89.89730727707735,95987.84470155422,18815.22,33.05090562397972,56928.00135058576,167427.0277,53.56767661567997,312552.34178103576
Sangrur,September 2020,219490.72,37.516648396112565,585048.8500000001,82744.7,120.73240163290274,68535.62,14782.02,23.756675529202855,62222.595,317017.44000000006,44.28811274725265,715807.065
