district,population,total_branches,total_bc,total_atms,banking_network,branches_per_1_lakh_population,bcs_per_1_lakh_population,atms_per_1_lakh_population,banking_network_per_1_lakh_population
Angul,1273821,197,1157,276,1630,15.47,90.83,21.67,127.96
Balangir,1648997,195,2195,203,2593,11.83,133.11,12.31,157.25
Balasore,2320529,293,2785,376,3454,12.63,120.02,16.20,148.85
Bargarh,1481255,199,1384,201,1784,13.43,93.43,13.57,120.44
Bhadrak,1506337,165,1770,238,2173,10.95,117.50,15.80,144.26
Boudh,441162,54,357,49,460,12.24,80.92,11.11,104.27
Cuttack,2624470,484,3056,631,4171,18.44,116.44,24.04,158.93
Deogarh,312520,44,254,47,345,14.08,81.27,15.04,110.39
Dhenkanal,1192811,152,710,177,1039,12.74,59.52,14.84,87.11
Gajapati,577817,70,398,86,554,12.11,68.88,14.88,95.88
Ganjam,3529031,474,3739,600,4813,13.43,105.95,17.00,136.38
Jagatsinghpur,1136971,177,2102,230,2509,15.57,184.88,20.23,220.67
Jajpur,1827192,238,2725,322,3285,13.03,149.14,17.62,179.78
Jharsuguda,579505,105,382,145,632,18.12,65.92,25.02,109.06
Kalahandi,1576869,175,2065,169,2409,11.10,130.96,10.72,152.77
Kandhamal,733110,80,531,88,699,10.91,72.43,12.00,95.35
Kendrapara,1440361,150,1158,197,1505,10.41,80.40,13.68,104.49
Keonjhar,1801733,235,2006,281,2522,13.04,111.34,15.60,139.98
Khordha,2251673,763,3560,1278,5601,33.89,158.10,56.76,248.75
Koraput,1379647,151,1089,165,1405,10.94,78.93,11.96,101.84
Malkangiri,613192,61,539,51,651,9.95,87.90,8.32,106.17
Mayurbhanj,2519738,298,2718,312,3328,11.83,107.87,12.38,132.08
Nabarangpur,1220946,92,698,69,859,7.54,57.17,5.65,70.36
Nayagarh,962789,143,1334,155,1632,14.85,138.56,16.10,169.51
Nuapada,610382,78,595,71,744,12.78,97.48,11.63,121.89
Puri,1698730,252,2577,308,3137,14.83,151.70,18.13,184.67
Rayagada,967911,112,654,130,896,11.57,67.57,13.43,92.57
Sambalpur,1041099,210,779,252,1241,20.17,74.82,24.21,119.20
Subarnapur,610183,83,829,92,1004,13.60,135.86,15.08,164.54
Sundargarh,2093437,285,1419,412,2116,13.61,67.78,19.68,101.08
