district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,69.80,14.52,20.81,26.10,13.19,50.52,95.91,27.71,28.90,2233.39,1000.45,44.80,700.00,446.23,63.75,875.00,639.48,73.08,490.00,314.80,64.25
Balangir,197.95,175.67,88.74,187.46,90.77,48.42,385.41,266.43,69.13,3506.28,2527.59,72.09,470.51,315.17,66.99,588.14,471.30,80.13,329.36,166.35,50.51
Balasore,44.80,92.61,206.72,28.39,36.81,129.67,73.19,129.43,176.83,3632.02,1651.40,45.47,927.71,532.79,57.43,1159.64,799.90,68.98,649.40,521.51,80.31
Bargarh,65.83,177.32,269.37,2.12,75.63,3564.68,67.95,252.95,372.25,5273.20,2090.51,39.64,327.81,337.35,102.91,276.05,459.14,166.33,241.54,254.12,105.21
Bhadrak,12.67,44.70,352.95,25.08,31.56,125.84,37.74,76.26,202.05,2731.64,1326.31,48.55,375.04,229.04,61.07,468.81,397.00,84.68,262.53,81.78,31.15
Boudh,20.26,11.40,56.29,36.55,17.20,47.06,56.81,28.61,50.35,1136.32,507.77,44.69,77.85,45.74,58.76,97.31,73.93,75.97,54.49,33.19,60.90
Cuttack,822.07,198.55,24.15,53.65,146.64,273.31,875.72,345.19,39.42,4159.72,2471.04,59.40,1619.77,848.96,52.41,1364.01,1254.78,91.99,1193.51,851.53,71.35
Deogarh,5.86,2.68,45.70,1.38,16.07,1166.72,7.24,18.75,259.00,683.45,299.28,43.79,37.08,25.57,68.95,46.35,50.21,108.32,25.96,6.15,23.68
Dhenkanal,79.04,20.97,26.53,8.66,27.91,322.26,87.70,48.88,55.73,1985.17,839.62,42.29,250.08,129.69,51.86,312.60,219.16,70.11,175.06,75.42,43.09
Gajapati,57.24,5.57,9.73,13.60,10.32,75.87,70.84,15.89,22.43,726.85,379.32,52.19,86.74,66.16,76.27,73.04,104.92,143.65,63.91,17.63,27.58
Ganjam,308.91,305.72,98.97,20.97,163.77,780.92,329.88,469.50,142.32,5706.28,3710.08,65.02,1305.02,975.50,74.75,1631.27,1294.15,79.33,913.51,540.60,59.18
Jagatsinghpur,67.88,11.88,17.50,51.68,26.17,50.64,119.56,38.05,31.82,1741.46,935.65,53.73,401.69,177.63,44.22,502.11,335.11,66.74,281.18,94.44,33.59
Jajpur,143.28,56.07,39.13,49.39,18.01,36.46,192.68,74.08,38.45,3936.58,1836.15,46.64,719.60,282.89,39.31,899.50,484.89,53.91,503.72,356.66,70.81
Jharsuguda,34.07,22.72,66.68,55.69,77.69,139.51,89.77,100.41,111.86,1130.40,844.65,74.72,408.70,270.28,66.13,510.88,439.24,85.98,286.09,236.61,82.70
Kalahandi,106.22,62.35,58.70,14.40,31.95,221.80,120.62,94.30,78.18,2413.25,1133.80,46.98,291.99,313.06,107.21,364.99,396.32,108.58,204.39,181.83,88.96
Kandhamal,7.19,1.87,25.99,2.20,11.02,501.95,9.39,12.89,137.32,916.73,384.20,41.91,199.90,81.64,40.84,249.88,119.18,47.69,139.93,44.98,32.14
Kendrapara,28.07,24.84,88.48,47.06,31.02,65.93,75.13,55.86,74.36,2697.55,1441.19,53.43,253.03,166.87,65.95,316.29,265.62,83.98,177.12,47.12,26.61
Keonjhar,49.75,17.43,35.03,1.35,71.91,5342.30,51.10,89.34,174.84,2275.20,979.73,43.06,502.00,292.17,58.20,627.50,449.53,71.64,351.40,205.10,58.37
Khordha,756.19,655.94,86.74,964.40,825.80,85.63,1720.59,1481.74,86.12,6133.85,4336.40,70.70,6369.00,1926.09,30.24,7961.25,3052.33,38.34,4458.30,2378.67,53.35
Koraput,134.02,46.61,34.78,12.66,41.35,326.52,146.69,87.96,59.97,2288.35,825.67,36.08,602.42,318.99,52.95,753.03,434.71,57.73,421.70,169.84,40.27
Malkangiri,16.20,1.71,10.58,3.37,26.20,776.81,19.58,27.92,142.61,587.34,305.52,52.02,51.00,39.47,77.38,63.75,66.44,104.22,35.70,13.04,36.53
Mayurbhanj,116.18,14.71,12.67,85.86,98.49,114.71,202.04,113.21,56.03,2608.93,1191.09,45.65,390.74,215.22,55.08,488.43,357.14,73.12,273.52,152.93,55.91
Nabarangpur,1.09,30.48,2800.21,1.82,50.08,2749.45,2.91,80.56,2768.44,1190.73,603.29,50.67,105.15,121.81,115.84,131.44,158.01,120.22,73.61,50.56,68.70
Nayagarh,24.66,24.51,99.41,98.94,18.02,18.21,123.59,42.53,34.41,2126.03,1246.53,58.63,215.16,144.65,67.23,268.95,225.25,83.75,150.61,50.58,33.58
Nuapada,8.81,11.99,136.01,3.82,33.14,868.17,12.63,45.12,357.27,748.49,536.42,71.67,97.52,49.36,50.61,121.90,110.47,90.62,68.26,13.63,19.96
Puri,114.74,34.16,29.77,79.25,34.18,43.12,193.99,68.33,35.23,2865.08,1816.49,63.40,518.53,276.70,53.36,648.16,457.63,70.60,362.97,135.42,37.31
Rayagada,47.12,22.56,47.87,9.38,21.30,227.07,56.50,43.86,77.62,1142.85,839.70,73.47,228.54,169.75,74.27,285.68,231.28,80.96,159.98,85.17,53.24
Sambalpur,38.52,91.40,237.28,28.78,82.54,286.76,67.31,173.94,258.44,2573.34,1194.98,46.44,660.80,316.09,47.83,826.00,514.24,62.26,462.56,291.43,63.00
Subarnapur,44.11,20.17,45.73,44.79,33.33,74.42,88.90,53.50,60.18,1346.95,697.53,51.79,147.98,78.55,53.08,124.61,134.55,107.98,109.04,13.52,12.40
Sundargarh,116.52,80.84,69.38,42.33,74.73,176.54,158.85,155.57,97.94,3884.18,1467.04,37.77,1960.53,915.94,46.72,2450.66,1184.77,48.35,1372.37,1131.17,82.42
