district,cumulative_till_25102024_total_application,disbursed_amount_in_rs_lakhs
Angul,32,24.27
Balangir,59,73.21
Balasore,61,52.23
Bargarh,58,57.11
Bhadrak,83,56.83
Boudh,22,17.17
Cuttack,140,164.85
Deogarh,5,1.08
Dhenkanal,65,57.13
Gajapati,51,47.36
Ganjam,150,154.76
Jagatsinghpur,7,9.57
Jajpur,57,41.92
Jharsuguda,34,40.7
Kalahandi,55,48.97
Kandhamal,12,7.66
Kendrapara,18,15.55
Keonjhar,18,11.87
Khordha,169,218.36
Koraput,62,85.67
Malkangiri,13,5.72
Mayurbhanj,44,27.63
Nabarangpur,4,2.54
Nayagarh,22,20.77
Nuapada,6,5.01
Puri,90,79.7
Rayagada,11,17.89
Sambalpur,78,79.52
Subarnapur,34,30.49
Sundargarh,52,44.68
