district,no_of_blocks,no_of_gps,no_of_bhqs,total_gps_bhqs,no_of_service_ready_bhqs,no_of_service_ready_gps,no_of_service_ready_bhqs_gps,no_of_acitve_connectivity_bhqs_gps,pct_of_acitve_connectivity
Angul,8,219,8,227,8,219,227,188,82.82
Balangir,14,314,14,328,14,314,328,225,68.60
Balasore,10,71,0,71,0,71,71,61,85.92
Bargarh,12,253,12,265,12,253,265,195,73.58
Bhadrak,7,30,0,30,0,30,30,28,93.33
Boudh,2,6,0,6,0,6,6,0,0.00
Cuttack,11,31,0,31,0,31,31,28,90.32
Deogarh,3,10,0,10,0,10,10,8,80.00
Dhenkanal,7,15,0,15,0,15,15,9,60.00
Gajapati,5,21,0,21,0,21,21,12,57.14
Ganjam,13,28,0,28,0,28,28,24,85.71
Jagatsinghpur,3,4,0,4,0,4,4,3,75.00
Jajpur,7,31,0,31,0,31,31,31,100.00
Jharsuguda,5,78,5,83,5,78,83,49,59.04
Kalahandi,12,166,7,173,7,166,173,114,65.90
Kandhamal,7,12,0,12,0,12,12,8,66.67
Kendrapara,5,18,0,18,0,18,18,18,100.00
Keonjhar,8,97,4,101,4,97,101,56,55.45
Khordha,8,22,0,22,0,22,22,16,72.73
Koraput,14,239,14,253,14,239,253,157,62.06
Malkangiri,7,103,7,110,7,103,110,100,90.91
Mayurbhanj,18,81,4,85,4,81,85,38,44.71
Nabarangpur,10,189,10,199,10,189,199,128,64.32
Nayagarh,7,18,0,18,0,18,18,15,83.33
Nuapada,5,131,5,136,5,131,136,96,70.59
Puri,11,38,0,38,0,38,38,32,84.21
Rayagada,11,181,11,192,11,181,192,130,67.71
Sambalpur,9,138,9,147,9,138,147,109,74.15
Subarnapur,6,109,6,115,6,109,115,99,86.09
Sundargarh,17,279,17,296,17,279,296,187,63.18
