district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,1650.06,756.50,45.85,39.26,2.13,5.43,99.86,69.18,69.28,38.46,7.27,18.89,10.22,2.95,28.87,86.34,42.62,49.36,53.82,27.60,51.29,48.78,22.30,45.71
Balangir,2305.88,1160.74,50.34,30.02,320.61,1068.06,208.79,113.39,54.31,28.38,506.10,1783.15,17.07,2.50,14.64,94.06,48.43,51.48,109.56,29.87,27.26,105.53,23.46,22.23
Balasore,2523.36,1116.32,44.24,73.08,1.43,1.96,163.21,160.33,98.24,214.96,18.11,8.43,4.47,5.50,123.02,140.40,56.72,40.40,78.37,26.67,34.04,12.32,38.93,315.90
Bargarh,3694.49,1580.83,42.79,119.18,5.55,4.66,355.67,78.65,22.11,106.33,11.35,10.67,22.76,4.81,21.13,140.09,38.06,27.17,100.56,26.14,25.99,119.61,29.72,24.85
Bhadrak,2071.46,953.14,46.01,34.97,1.04,2.97,51.36,119.55,232.80,66.49,9.09,13.67,13.78,5.02,36.43,93.08,38.36,41.21,66.41,26.90,40.51,106.12,28.56,26.92
Boudh,874.03,403.03,46.11,5.65,0.54,9.62,42.72,37.17,87.00,16.75,1.67,9.95,2.53,1.64,65.02,17.78,8.57,48.21,24.16,5.11,21.14,51.19,1.96,3.83
Cuttack,2145.22,1504.68,70.14,36.13,4.33,11.99,214.10,178.11,83.19,78.50,17.22,21.94,2.25,7.64,339.93,238.46,126.01,52.84,127.68,63.05,49.38,180.00,65.97,36.65
Deogarh,565.51,232.23,41.07,6.06,2.10,34.74,28.01,35.36,126.27,24.08,0.30,1.26,2.44,0.50,20.67,6.44,3.71,57.69,4.53,1.23,27.22,15.27,0.59,3.90
Dhenkanal,1358.45,625.05,46.01,71.81,1.45,2.02,129.09,83.04,64.32,152.61,8.06,5.28,8.43,2.54,30.11,81.62,19.90,24.38,41.65,16.47,39.56,23.08,6.88,29.83
Gajapati,506.32,291.32,57.54,11.25,1.09,9.73,23.44,23.24,99.15,24.19,2.77,11.43,8.88,1.94,21.89,20.70,9.31,44.99,11.93,6.43,53.91,21.57,12.77,59.19
Ganjam,3397.92,2374.76,69.89,63.05,9.83,15.59,303.89,226.11,74.40,174.83,31.37,17.94,12.29,24.66,200.63,315.11,158.78,50.39,388.93,124.83,32.10,224.86,68.60,30.51
Jagatsinghpur,1267.51,567.49,44.77,15.11,1.98,13.13,74.50,127.08,170.59,43.20,4.51,10.44,1.26,2.90,230.96,76.98,56.55,73.45,31.07,44.14,142.09,13.61,40.92,300.69
Jajpur,2418.33,1200.35,49.64,33.02,4.20,12.71,168.01,183.65,109.31,37.45,15.87,42.37,12.72,3.31,25.98,128.43,82.68,64.38,88.88,42.88,48.24,562.27,85.65,15.23
Jharsuguda,644.92,270.31,41.91,26.61,0.56,2.09,237.93,22.90,9.63,12.50,5.05,40.35,1.18,0.97,82.62,25.43,16.56,65.13,21.01,13.08,62.27,9.38,5.39,57.52
Kalahandi,1676.10,873.68,52.13,16.56,3.22,19.45,356.66,100.51,28.18,103.08,5.41,5.24,8.20,3.46,42.16,31.28,16.18,51.73,21.81,9.65,44.24,8.67,10.57,121.97
Kandhamal,695.72,334.09,48.02,34.43,0.84,2.43,46.94,15.33,32.67,35.89,2.38,6.63,5.30,1.66,31.35,7.38,7.62,103.37,25.72,1.83,7.13,36.88,0.49,1.33
Kendrapara,2091.31,1162.91,55.61,51.11,2.41,4.71,59.58,117.94,197.95,57.62,3.47,6.02,5.88,4.28,72.90,142.25,21.33,14.99,28.02,12.99,46.35,28.85,15.05,52.16
Keonjhar,1389.27,625.14,45.00,45.07,2.46,5.46,161.87,77.48,47.87,99.45,4.52,4.55,9.63,1.70,17.65,96.54,42.65,44.18,149.45,25.65,17.16,89.98,41.07,45.65
Khordha,1966.30,1636.87,83.25,86.36,6.20,7.18,382.85,475.60,124.22,567.16,24.54,4.33,24.92,31.90,128.01,419.05,134.67,32.14,364.68,81.51,22.35,125.44,58.32,46.49
Koraput,1491.01,604.65,40.55,14.22,2.59,18.18,28.22,61.44,217.74,80.91,1.26,1.56,12.30,6.88,55.93,71.78,11.76,16.38,38.94,10.87,27.91,26.36,5.36,20.33
Malkangiri,401.68,238.85,59.46,13.72,1.35,9.80,29.99,20.27,67.59,21.72,1.24,5.69,10.06,1.93,19.23,22.65,3.89,17.18,9.19,1.72,18.76,5.95,3.59,60.29
Mayurbhanj,1772.88,766.04,43.21,52.32,1.35,2.58,154.07,138.06,89.61,66.00,14.77,22.38,5.82,2.58,44.37,102.39,56.27,54.96,42.09,23.75,56.43,86.83,28.17,32.44
Nabarangpur,948.16,442.24,46.64,31.97,1.21,3.78,45.03,36.19,80.37,19.82,2.62,13.24,16.37,1.41,8.63,74.00,9.97,13.47,8.73,11.29,129.34,1.58,4.18,265.42
Nayagarh,1581.58,929.79,58.79,31.57,3.10,9.82,94.07,80.11,85.17,96.75,6.62,6.85,4.17,2.66,63.78,71.49,57.89,80.97,55.54,35.55,64.02,25.32,11.58,45.74
Nuapada,544.66,285.33,52.39,33.42,0.51,1.51,53.85,27.61,51.27,19.80,2.72,13.74,8.56,1.19,13.93,14.10,54.03,383.32,22.71,66.65,293.41,9.66,13.95,144.52
Puri,1868.25,1122.99,60.11,78.64,5.94,7.56,129.41,85.66,66.20,73.19,14.76,20.17,3.38,5.61,165.92,187.50,174.83,93.24,56.27,115.00,204.36,8.08,55.08,681.31
Rayagada,778.45,449.42,57.73,29.41,1.55,5.26,36.58,26.07,71.26,30.35,7.61,25.09,9.45,1.27,13.45,32.99,107.86,326.89,57.14,103.63,181.36,22.69,32.05,141.26
Sambalpur,1788.54,678.17,37.92,39.30,2.92,7.42,146.88,77.42,52.71,85.22,6.92,8.12,12.30,5.11,41.55,51.73,67.25,130.01,53.65,63.12,117.67,183.22,26.26,14.33
Subarnapur,976.27,522.03,53.47,12.96,1.64,12.65,94.43,29.48,31.22,23.50,7.87,33.48,7.85,2.23,28.35,41.10,22.37,54.43,28.64,26.28,91.77,11.89,14.48,121.75
Sundargarh,2520.06,1055.84,41.90,58.70,1.18,2.00,728.42,89.70,12.31,58.87,10.99,18.66,32.40,8.93,27.57,76.74,63.13,82.27,53.48,19.90,37.21,22.69,18.33,80.76
