district,allied_advance_fishery_t,a,pct,others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,26.90,9.48,35.26,24.05,5.21,21.67,2077.75,945.25,45.49,38.72,20.10,51.91,11.73,7.20,61.41,9.27,0.18,1.99,59.73,27.49,46.03
Balangir,49.11,7.03,14.31,2.85,7.60,267.02,2951.25,2219.73,75.21,149.62,15.57,10.41,7.57,22.98,303.65,12.43,2.87,23.12,169.62,41.43,24.42
Balasore,325.42,55.90,17.18,2.75,4.31,156.87,3538.33,1484.24,41.95,1.47,16.29,1107.13,16.70,19.02,113.87,2.33,2.42,103.95,20.50,37.73,184.02
Bargarh,413.26,17.27,4.18,2.06,10.45,507.49,5074.01,1802.82,35.53,92.22,19.15,20.77,15.62,7.45,47.66,23.40,8.15,34.81,131.24,34.74,26.47
Bhadrak,119.23,36.15,30.32,2.24,2.31,103.39,2625.13,1220.13,46.48,51.60,10.08,19.52,11.32,17.98,158.84,5.84,1.87,31.94,68.76,29.92,43.51
Boudh,18.70,2.00,10.67,1.51,0.78,51.29,1055.01,462.46,43.83,14.16,0.48,3.41,3.47,15.75,453.32,6.87,0.48,6.92,24.50,16.71,68.19
Cuttack,103.10,46.24,44.85,131.10,21.32,16.26,3256.55,2034.57,62.48,9.30,23.68,254.52,3.35,58.73,1754.23,14.79,8.87,59.96,27.44,91.28,332.61
Deogarh,10.45,1.44,13.79,0.23,0.62,272.39,663.01,278.11,41.95,9.32,0.71,7.64,2.97,1.61,54.35,0.92,0.09,10.14,13.20,2.42,18.32
Dhenkanal,6.90,4.23,61.26,0.90,10.07,1120.07,1874.54,777.69,41.49,10.48,10.61,101.24,10.98,2.17,19.74,1.47,0.27,18.59,22.93,13.05,56.91
Gajapati,5.57,7.71,138.35,2.15,1.32,61.33,636.01,357.90,56.27,13.88,0.91,6.52,3.57,4.53,126.84,2.54,0.10,3.82,20.00,5.53,27.67
Ganjam,220.02,119.97,54.52,3.52,11.15,316.70,5104.44,3150.05,61.71,225.09,48.56,21.58,24.14,36.85,152.61,22.72,5.12,22.55,271.96,90.53,33.29
Jagatsinghpur,55.62,14.77,26.55,2.43,3.45,142.12,1581.29,863.80,54.63,24.37,0.16,0.66,7.71,32.71,424.32,8.54,0.93,10.87,40.61,33.80,83.23
Jajpur,54.26,54.79,100.97,16.37,7.19,43.95,3519.75,1680.56,47.75,178.13,33.23,18.66,29.05,47.61,163.91,16.97,0.66,3.89,224.15,81.51,36.36
Jharsuguda,7.71,5.91,76.70,0.40,1.46,365.28,987.06,342.19,34.67,26.71,390.94,1463.46,10.54,10.44,99.08,16.32,0.66,4.04,53.57,402.04,750.51
Kalahandi,32.63,4.92,15.08,1.76,3.84,218.43,2256.76,1031.45,45.70,20.62,1.82,8.83,13.45,5.45,40.48,1.80,0.79,43.83,35.87,8.06,22.46
Kandhamal,2.69,2.79,103.50,0.78,0.50,64.00,891.74,367.54,41.22,7.84,0.02,0.31,5.25,3.73,71.02,2.52,0.02,0.67,15.60,3.77,24.14
