district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,10.60,0.00,0.00,29.12,4.08,14.00,151.19,24.49,16.20,3.40,0.00,0.00,388.88,117.67,30.26,50.01,0.43,0.85,6366.59,3350.51,52.63
Balangir,5.00,0.00,0.00,23.26,3.59,15.42,198.24,24.74,12.48,4.81,0.00,0.00,277.44,52.26,18.84,77.17,0.58,0.75,6444.78,4038.35,62.66
Balasore,1285.00,62.00,4.82,56.23,7.01,12.47,223.77,54.27,24.25,6.05,0.00,0.00,638.01,287.44,45.05,132.17,3.96,3.00,10611.80,4991.88,47.04
Bargarh,2.00,0.00,0.00,19.59,2.45,12.49,180.21,21.13,11.73,4.09,1.20,29.32,138.40,31.01,22.40,29.34,0.18,0.60,7372.13,3564.58,48.35
Bhadrak,25.00,0.00,0.00,39.14,4.09,10.46,193.85,34.09,17.59,4.22,0.01,0.19,567.60,135.32,23.84,73.70,0.14,0.19,5510.37,2399.11,43.54
Boudh,5.10,0.00,0.00,6.18,0.42,6.73,115.69,6.94,6.00,3.10,0.00,0.00,61.64,9.95,16.15,7.12,0.01,0.09,1724.39,735.20,42.64
Cuttack,23.24,0.00,0.00,80.50,18.48,22.95,1034.62,94.15,9.10,13.88,0.09,0.66,1801.74,331.64,18.41,115.62,2.03,1.76,15754.39,8172.29,51.87
Deogarh,2.00,0.00,0.00,5.81,0.29,5.00,59.05,3.39,5.74,0.59,0.00,0.00,72.99,4.59,6.29,6.32,0.02,0.39,1015.62,415.57,40.92
Dhenkanal,25.00,0.00,0.00,28.63,5.56,19.43,147.59,20.36,13.80,4.70,0.00,0.00,325.62,101.34,31.12,78.27,0.04,0.06,3845.38,1544.20,40.16
Gajapati,2.00,0.00,0.00,16.33,3.25,19.91,98.61,5.71,5.79,5.04,0.00,0.00,313.35,9.00,2.87,94.35,0.04,0.04,1713.04,624.69,36.47
Ganjam,42.00,0.00,0.00,95.27,23.46,24.62,588.96,134.66,22.86,1.20,0.04,3.48,645.00,152.19,23.60,24.68,2.02,8.19,13628.47,7912.00,58.05
Jagatsinghpur,2.00,0.00,0.00,83.90,4.00,4.77,95.66,34.77,36.35,3.48,0.00,0.00,204.46,98.10,47.98,88.16,6.72,7.62,4227.56,1883.43,44.55
Jajpur,2.00,0.00,0.00,40.25,5.67,14.10,166.61,66.72,40.05,3.73,0.01,0.22,389.48,162.81,41.80,64.90,0.69,1.07,8201.57,3729.44,45.47
Jharsuguda,5.00,0.00,0.00,10.56,3.25,30.76,166.77,17.07,10.23,7.09,0.00,0.00,96.67,18.90,19.56,82.01,0.53,0.65,3542.00,2532.00,71.49
Kalahandi,15.00,0.00,0.00,19.23,2.42,12.57,186.83,22.48,12.03,2.67,0.00,0.00,153.32,35.52,23.17,46.17,0.94,2.04,4296.42,2355.04,54.81
Kandhamal,3.15,0.00,0.00,8.82,0.82,9.28,51.01,4.43,8.69,1.30,0.00,0.00,94.03,36.48,38.79,40.94,0.11,0.27,2115.48,718.41,33.96
Kendrapara,20.60,0.00,0.00,17.18,3.27,19.02,74.69,21.58,28.89,2.66,0.00,0.00,247.00,97.61,39.52,81.99,0.02,0.02,4406.81,2163.65,49.10
Keonjhar,2.00,0.00,0.00,15.22,3.28,21.57,140.98,29.24,20.74,2.64,0.00,0.00,767.93,146.99,19.14,59.97,0.74,1.23,5773.93,2640.65,45.73
