district,shishu_no_of_a_cs,sanctioned_amt,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,disbursement_amt,tarun_no_of_a_cs,sanctioned_amt,disbursement_amt,total_no_of_a_cs,sanctioned_amt,disbursement_amt
Angul,21933,76.22,75.63,8793,93.01,91.38,629,50.62,49.04,31355,219.85,216.05
Balangir,32749,119.6,119.13,12335,113.89,112.3,600,47.63,46.5,45684,281.12,277.93
Balasore,34109,120.39,119.96,19641,209.75,207.42,1067,83.89,81.77,54817,414.03,409.15
Bargarh,32235,113.45,113.25,11205,106.71,105.62,436,35.81,34.89,43876,255.97,253.76
Bhadrak,25418,88.55,88.25,14218,142.1,141.05,789,62.16,61.5,40425,292.81,290.80
Boudh,7053,25.91,25.72,3152,33.07,32.4,227,18.38,17.82,10432,77.36,75.94
Cuttack,65367,230.01,229.76,22540,244.99,241.56,1873,151.16,147.45,89780,626.16,618.77
Deogarh,3922,12.96,12.78,899,11.89,11,145,10.9,10.39,4966,35.75,34.17
Dhenkanal,21763,76.03,75.85,7414,79.8,79.08,576,46.64,46.3,29753,202.47,201.23
Gajapati,7076,24.51,24.46,2737,31.29,30.54,190,15.34,15.06,10003,71.14,70.06
Ganjam,54173,191.58,190.9,27325,293.61,289.2,1921,151.98,148.59,83419,637.17,628.69
Jagatsinghpur,29098,106.45,104.77,12276,126.89,124.84,835,65.92,65.01,42209,299.26,294.62
Jajpur,25148,88.92,88.44,11700,143.64,142.3,983,79.56,78.72,37831,312.12,309.46
Jharsuguda,10943,40.22,40.03,4702,50.84,49.72,309,25.09,24.4,15954,116.15,114.15
Kalahandi,25733,92.71,92.45,8690,83.72,83.29,487,41.9,41.2,34910,218.33,216.94
Kandhamal,12219,44.46,44.3,2233,27.97,27.42,228,19.02,18.59,14680,91.45,90.31
Kendrapara,13316,47.03,46.99,6678,75.52,74.53,592,45.86,44.92,20586,168.41,166.44
Keonjhar,19594,66.13,65.88,6404,84.53,82.29,667,54.6,51.7,26665,205.26,199.87
Khordha,74328,266.62,266.42,28095,354.32,349.99,2899,700.27,694.01,105322,1321.21,1310.42
Koraput,24719,88.25,88.06,6676,69.9,68.83,549,45.28,44.64,31944,203.43,201.53
Malkangiri,14966,53.16,52.87,3663,30.36,29.67,169,13.24,13.07,18798,96.76,95.61
Mayurbhanj,49101,161.28,160.99,12038,134.55,130.68,1032,80.87,77.02,62171,376.70,368.69
Nabarangpur,13060,46.23,46.03,3047,30.23,29.89,342,27.09,26.88,16449,103.55,102.80
Nayagarh,20400,72.27,71.88,8070,80.75,79.96,539,42.14,41.49,29009,195.16,193.33
Nuapada,8629,31.95,31.8,3084,28.72,28.37,237,19.28,18.89,11950,79.95,79.06
Puri,36214,124.88,124.04,17519,188.88,186.87,1176,94.29,92.81,54909,408.05,403.72
Rayagada,20759,73.7,73.18,7224,65.86,65.09,345,27.28,26.91,28328,166.84,165.18
Sambalpur,24287,89.1,88.78,7671,100.15,98.46,879,69.78,68.72,32837,259.03,255.96
Subarnapur,14569,54.03,53.77,5833,58.05,57.43,321,25.49,25.06,20723,137.57,136.26
Sundargarh,27133,97.6,97.19,11866,132.13,129.11,1101,85.39,82.73,40100,315.12,309.03
