district,no_of_applications_received,no_of_applications_accepted,no_of_applications_sanctioned,no_of_applications_pending,no_of_applications_rejected
Angul,3147,3147,716,2,2429
Balangir,1516,1516,398,366,752
Balasore,4047,3985,1185,407,2393
Bargarh,1364,1364,704,,660
Bhadrak,1791,1694,281,,1413
Boudh,282,282,12,,270
Cuttack,3808,3760,1554,51,2155
Deogarh,78,78,45,,33
Dhenkanal,2708,2704,1138,127,1439
Gajapati,636,636,201,17,418
Ganjam,2367,2367,399,550,1418
Jharsuguda,267,267,75,6,186
Kalahandi,1037,1037,229,26,782
Kandhamal,696,696,131,94,471
Kendrapara,16732,15764,3021,17,12726
Keonjhar,832,832,518,,314
Khordha,1389,1389,540,,849
Koraput,1246,1243,458,67,718
Malkangiri,2042,2042,298,,1744
Mayurbhanj,1526,1526,650,,876
Nabarangpur,1405,1405,445,107,853
Nayagarh,503,503,42,,461
Nuapada,469,469,133,5,331
Puri,9367,9131,2518,327,6286
Rayagada,2068,2053,596,49,1408
Sambalpur,1218,1218,556,20,642
Subarnapur,243,243,90,60,93
Sundargarh,1908,1908,488,,1420
