district,branches_rural,semi_urban,urban,total_branches,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgender_bcs,out_of_total_bcs_wshg_members,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,110,77,10,197,876,149,132,1157,825,332,0,153,874,1025,79,192,5,276
Balangir,98,87,10,195,1527,437,231,2195,1842,353,0,124,1871,2154,26,175,2,203
Balasore,175,67,51,293,2081,395,309,2785,2037,748,0,311,2457,2610,115,84,177,376
Bargarh,123,69,7,199,1108,209,67,1384,1140,244,0,93,1136,1340,54,142,5,201
Bhadrak,109,26,30,165,1379,186,205,1770,1318,452,0,156,1513,1679,56,26,156,238
Boudh,31,21,2,54,271,71,15,357,294,63,0,44,309,344,4,45,0,49
Cuttack,232,45,207,484,2106,204,746,3056,2281,775,0,109,2619,2915,153,65,413,631
Deogarh,24,18,2,44,187,60,7,254,178,76,0,39,209,240,11,36,0,47
Dhenkanal,93,56,3,152,530,152,28,710,581,129,0,89,570,617,56,120,1,177
Gajapati,44,23,3,70,330,58,10,398,254,144,0,108,361,386,30,51,5,86
Ganjam,218,146,110,474,2620,536,583,3739,2890,849,0,202,3174,3639,102,225,273,600
Jagatsinghpur,119,54,4,177,1654,158,290,2102,1563,539,0,132,1837,2003,84,142,4,230
Jajpur,173,59,6,238,2169,240,316,2725,2036,689,0,146,2358,2599,138,183,1,322
Jharsuguda,37,62,6,105,243,86,53,382,306,76,0,30,286,370,11,134,0,145
Kalahandi,106,63,6,175,1679,188,198,2065,1770,295,0,80,1788,2016,81,87,1,169
Kandhamal,41,38,1,80,368,101,62,531,399,132,0,80,496,526,10,78,0,88
Kendrapara,103,44,3,150,771,264,123,1158,792,366,0,147,919,1097,58,138,1,197
Keonjhar,130,98,7,235,1502,226,278,2006,1621,385,0,118,1707,1910,74,205,2,281
Khordha,181,93,489,763,1667,209,1684,3560,2425,1135,0,91,2864,3486,113,173,992,1278
Koraput,82,58,11,151,775,182,132,1089,869,220,0,76,853,1081,26,135,4,165
Malkangiri,38,20,3,61,406,111,22,539,440,99,0,54,427,508,12,39,0,51
Mayurbhanj,200,48,50,298,1958,294,466,2718,2021,697,0,288,2136,2577,115,93,104,312
Nabarangpur,52,36,4,92,509,184,5,698,585,113,0,83,533,690,8,60,1,69
Nayagarh,100,41,2,143,1044,104,186,1334,1035,299,0,125,1183,1263,70,84,1,155
Nuapada,45,31,2,78,488,80,27,595,485,110,0,77,455,577,28,42,1,71
Puri,160,31,61,252,1830,193,554,2577,1954,623,0,161,2182,2471,114,43,151,308
Rayagada,68,39,5,112,523,93,38,654,560,94,0,35,455,623,38,90,2,130
Sambalpur,79,36,95,210,472,102,205,779,606,173,0,74,590,745,32,37,183,252
Subarnapur,49,29,5,83,621,132,76,829,741,88,0,38,722,809,18,72,2,92
Sundargarh,125,57,103,285,1036,212,171,1419,996,423,0,120,1173,1362,108,101,203,412
