district,name_of_rseti,name_of_sponsor_bank,number_of_training_programmes_conducted,number_of_trainees_trained,total_no_of_candidates_settled,settled_under_self_employment,settled_under_wage_employment,self_finance,bank_finance,pct_of_settlement,pct_of_credit_linked
Angul,Angul,UCO Angul,260,8561,6393,5962,431,2675,3287,74.68,55.13
Balangir,Bolangir,SBI Bolangir,275,8210,6489,6065,424,2735,3330,79.04,54.91
Balasore,Balasore,UCO Balasore,319,10440,6923,6437,486,2191,4246,66.31,65.96
Bargarh,Bargarh,SBI Baragarh,298,8627,7485,6661,824,1663,4998,86.76,75.03
Bhadrak,Bhadrak,UCO Bhadrak,299,9231,7319,6924,395,2869,4055,79.29,58.56
Boudh,Boudh,SBI Boudh,264,7892,5147,4864,283,1325,3539,65.22,72.76
Cuttack,Cuttack,UCO Cuttack,279,8399,5516,5308,208,2239,3069,65.67,57.82
Deogarh,Deogarh,CBI Deogarh,224,7076,4771,4687,84,2464,2223,67.43,47.43
Dhenkanal,Dhenkanal,UCO Dhenkanal,282,9058,6358,6194,164,1576,4618,70.19,74.56
Gajapati,Gajapati,Union Bank Paralakhemundi,327,8847,7398,6801,597,2543,4258,83.62,62.61
Ganjam,Ganjam,Union Bank Chhatrapur,406,10285,8015,6583,1432,1829,4754,77.93,72.22
Jagatsinghpur,Jagatsinghpur,UCO Jagatsinghpur,287,8063,5418,4861,557,2084,2777,67.20,57.13
Jajpur,Jajpur,SBI Jajpur,304,9288,7111,6853,258,2660,4193,76.56,61.18
Jharsuguda,Jharsuguda,SBI Jharsuguda,434,11386,9619,7667,1952,3977,3690,84.48,48.13
Kalahandi,Kalahandi,SBI Kalahandi,305,8813,6552,5363,1189,2605,2758,74.34,51.43
Kandhamal,Kandhamal,SBI Kandhamal,271,8437,6488,5912,576,2127,3785,76.90,64.02
Kendrapara,Kendrapara,SBI Kendrapara,344,10458,7862,7200,662,2641,4559,75.18,63.32
Keonjhar,Keonjhar,BOI Keonjhar,279,8222,5943,5331,612,2292,3039,72.28,57.01
Khordha,RUDSETI,SyndicateCanaraDharmasth,ala 486,15734,13044,11684,1360,2732,8952,82.90,76.62
Koraput,Koraput,SBI Koraput,244,7126,4915,4322,593,1336,2986,68.97,69.09
Malkangiri,Malkangiri,SBI Malkangiri,248,7200,5120,4910,210,2187,2723,71.11,55.46
Mayurbhanj,Mayurbhanj,BOI Baripada,365,10623,8293,7860,433,3468,4392,78.07,55.88
Nabarangpur,Nabrangpur,SBI Nabarangpur,254,8211,5801,5235,566,2475,2760,70.65,52.72
Nayagarh,Nayagarh,SBI Nayagarh,287,8319,6301,6055,246,3025,3030,75.74,50.04
Nuapada,Nuapada,SBI Nuapara,279,8026,6238,5878,360,3019,2859,77.72,48.64
Puri,Puri,UCO Puri,284,8588,6321,6119,202,2834,3285,73.60,53.69
Rayagada,Rayagada,SBI Rayagara,258,7653,6195,5385,810,1586,3799,80.95,70.55
Sambalpur,Sambalpur,SBI Sambalpur,309,9029,7102,5987,1115,1734,4253,78.66,71.04
Subarnapur,Subarnapur,SBI Subarnapur,274,8122,6222,6089,133,1655,4434,76.61,72.82
Sundargarh,Sundargarh,SBI Sundargarh,297,8743,6207,5724,483,2434,3290,70.99,57.48
