district,no_of_blocks,no_of_gps,no_of_gps_and_bhqs,no_of_gps_bhqs_where_ofc_has_been_laid,no_of_gps_bhqs_with_ofc_e_e_tested,no_of_gps_bhq_service_ready,no_of_gp_lit,no_of_bhq_lit,no_of_gps_inclu_bhq_lit_service_opened,no_of_acitve_connectivity_bhqs_gps,pct_of_acitve_connectivity
Balasore,12,288,300,300,300,300,288,12,300,202,67.33
Bhadrak,7,188,195,195,195,195,188,7,195,161,82.56
Boudh,3,62,65,65,65,65,62,3,65,32,49.23
Cuttack,14,342,356,356,356,356,342,14,356,174,48.88
Deogarh,3,60,63,63,63,63,60,3,63,18,28.57
Dhenkanal,8,197,205,205,205,205,197,8,205,84,40.98
Gajapati,7,125,132,132,132,132,125,7,132,10,7.58
Ganjam,22,474,496,496,496,496,474,22,496,231,46.57
Jagatsinghpur,8,194,202,202,202,202,194,8,202,180,89.11
Jajpur,10,282,292,292,292,292,282,10,292,125,42.81
Kalahandi,6,146,152,151,151,151,145,6,151,81,53.64
Kandhamal,12,141,153,153,153,153,141,12,153,119,77.78
Kendrapara,9,227,236,236,236,236,227,9,236,226,95.76
Keonjhar,9,193,202,202,202,202,193,9,202,50,24.75
Khordha,10,168,178,178,178,178,168,10,178,75,42.13
Nayagarh,8,175,183,183,183,183,175,8,183,80,43.72
Puri,11,229,240,240,240,240,229,11,240,143,59.58
