district,name_of_supporting_bank,aap_target_for_fy_2024_25_no_of,no_of,achievement_no_of,no_of,pctage,rural_poor_nrlm_target,achievement,pctage
Angul,UCO,34,1050,14,446,42.48,735,444,60.41
Balangir,SBI,31,920,11,363,39.46,644,351,54.50
Balasore,UCO,41,1250,18,602,48.16,875,576,65.83
Bargarh,SBI,34,970,15,486,50.10,679,486,71.58
Bhadrak,UCO,33,1150,16,432,37.57,805,432,53.66
Boudh,SBI,28,920,12,411,44.67,644,400,62.11
Cuttack,UCO,30,980,13,425,43.37,686,398,58.02
Deogarh,CBI,32,1050,6,185,17.62,539,185,34.32
Dhenkanal,UCO,32,1000,15,503,50.30,700,500,71.43
Gajapati,Union Bank,33,980,15,495,50.51,686,495,72.16
Ganjam,Union Bank,31,980,13,398,40.61,686,359,52.33
Jagatsinghpur,UCO,37,1050,13,424,40.38,735,401,54.56
Jajpur,SBI,30,980,15,494,50.41,686,494,72.01
Jharsuguda,SBI,40,1120,16,498,44.46,784,413,52.68
Kalahandi,SBI,28,970,15,489,50.41,679,447,65.83
Kandhamal,SBI,33,980,15,524,53.47,686,524,76.38
Kendrapara,SBI,35,1050,10,331,31.52,735,330,44.90
Keonjhar,BOI,31,1050,17,545,51.90,735,545,74.15
Koraput,SBI,27,860,13,416,48.37,602,387,64.29
Malkangiri,SBI,34,850,13,408,48.00,595,405,68.07
Mayurbhanj,BOI,36,1150,17,544,47.30,805,536,66.58
Nabarangpur,SBI,30,970,15,511,52.68,679,507,74.67
Nayagarh,SBI,32,990,16,523,52.83,693,503,72.58
Nuapada,SBI,26,890,15,484,54.38,623,470,75.44
Puri,UCO,34,1120,6,199,17.77,784,198,25.26
Rayagada,SBI,34,1000,13,444,44.40,700,440,62.86
Sambalpur,SBI,33,990,17,564,56.97,693,526,75.90
Subarnapur,SBI,29,970,12,394,40.62,679,394,58.03
Sundargarh,SBI,33,970,11,344,35.46,679,337,49.63
