district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,560.00,406.90,72.66,315.00,203.08,64.47,385.00,163.17,42.38,70.00,3.07,4.39,105.00,26.67,25.40,3500.00,2203.40,62.95
Balangir,376.41,249.08,66.17,211.73,110.80,52.33,258.78,106.25,41.06,47.05,0.86,1.83,70.58,9.79,13.87,2352.58,1429.60,60.77
Balasore,742.17,429.33,57.85,417.47,256.46,61.43,510.24,324.89,63.67,92.77,4.28,4.61,139.16,56.62,40.69,4638.55,2925.79,63.08
Bargarh,293.30,258.06,87.99,124.22,51.54,41.49,186.33,41.52,22.28,86.26,2.22,2.58,189.78,14.16,7.46,1725.30,1418.11,82.19
Bhadrak,300.04,137.22,45.73,168.77,12.55,7.44,206.27,4.93,2.39,37.50,2.34,6.24,56.26,34.30,60.97,1875.22,899.15,47.95
Boudh,62.28,45.57,73.18,35.03,3.63,10.38,42.82,6.75,15.78,7.78,0.44,5.66,11.68,0.85,7.29,389.24,210.11,53.98
Cuttack,1449.26,900.33,62.12,613.80,677.06,110.31,920.71,615.41,66.84,426.25,7.20,1.69,937.76,99.58,10.62,8525.07,5254.86,61.64
Deogarh,29.66,23.29,78.51,16.69,0.00,0.00,20.39,0.15,0.72,3.71,0.40,10.81,5.56,2.23,40.06,185.40,107.99,58.25
Dhenkanal,200.06,113.57,56.77,112.54,11.84,10.52,137.54,3.56,2.59,25.01,2.20,8.80,37.51,21.83,58.18,1250.40,577.28,46.17
Gajapati,77.61,22.49,28.98,32.87,0.74,2.27,49.30,10.31,20.91,22.82,0.19,0.84,50.21,4.94,9.83,456.50,227.38,49.81
Ganjam,1044.01,518.76,49.69,587.26,208.50,35.50,717.76,277.35,38.64,130.50,6.01,4.61,195.75,68.67,35.08,6525.08,3889.55,59.61
Jagatsinghpur,321.35,144.51,44.97,180.76,8.56,4.74,220.93,13.39,6.06,40.17,3.81,9.48,60.25,26.73,44.36,2008.44,804.19,40.04
Jajpur,575.68,403.69,70.12,323.82,26.58,8.21,395.78,61.45,15.53,71.96,2.53,3.52,107.94,38.69,35.84,3598.00,1657.38,46.06
Jharsuguda,326.96,292.12,89.34,183.91,141.12,76.73,224.78,258.96,115.20,40.87,1.13,2.77,61.30,8.14,13.27,2043.50,1647.60,80.63
Kalahandi,233.59,230.07,98.49,131.40,8.60,6.54,160.59,18.36,11.43,29.20,1.05,3.60,43.80,10.59,24.18,1459.95,1159.88,79.45
Kandhamal,159.92,41.97,26.24,89.96,0.00,0.00,109.95,3.13,2.85,19.99,0.25,1.26,29.99,1.23,4.11,999.50,292.37,29.25
Kendrapara,202.42,89.71,44.32,113.86,0.07,0.06,139.17,6.33,4.55,25.30,2.55,10.09,37.95,21.72,57.23,1265.14,599.99,47.42
Keonjhar,401.60,303.59,75.60,225.90,94.90,42.01,276.10,104.72,37.93,50.20,5.90,11.76,75.30,24.75,32.87,2509.99,1480.66,58.99
Khordha,5095.20,3236.87,63.53,2866.05,3297.32,115.05,3502.95,2443.57,69.76,636.90,8.86,1.39,955.35,364.67,38.17,31845.00,16708.39,52.47
Koraput,481.94,196.09,40.69,271.09,73.47,27.10,331.33,79.69,24.05,60.24,1.03,1.70,90.36,18.79,20.80,3012.11,1292.61,42.91
Malkangiri,40.80,49.93,122.38,22.95,0.00,0.00,28.05,7.59,27.05,5.10,0.30,5.80,7.65,1.82,23.76,255.00,178.58,70.03
Mayurbhanj,312.59,218.57,69.92,175.83,4.66,2.65,214.91,8.48,3.95,39.07,3.61,9.24,58.61,31.92,54.47,1953.70,992.53,50.80
Nabarangpur,84.12,54.20,64.44,47.32,0.34,0.72,57.83,2.10,3.63,10.52,0.42,3.95,15.77,2.68,17.00,525.76,390.13,74.20
Nayagarh,172.13,52.19,30.32,96.82,0.31,0.32,118.34,3.45,2.91,21.52,3.24,15.06,32.27,32.62,101.06,1075.80,512.29,47.62
Nuapada,78.01,33.51,42.95,43.88,0.00,0.00,53.63,0.00,0.00,9.75,0.12,1.23,14.63,0.56,3.82,487.59,207.63,42.58
Puri,414.82,130.72,31.51,233.34,9.06,3.88,285.19,42.86,15.03,51.85,3.80,7.32,77.78,80.34,103.29,2592.64,1136.52,43.84
Rayagada,182.84,105.98,57.97,102.84,0.19,0.19,125.70,1.70,1.36,22.85,0.79,3.47,34.28,16.77,48.92,1142.72,611.64,53.52
Sambalpur,528.64,441.46,83.51,297.36,123.51,41.54,363.44,127.51,35.08,66.08,1.73,2.62,99.12,17.13,17.28,3304.00,1833.10,55.48
Subarnapur,132.40,26.43,19.96,56.08,2.03,3.63,84.11,3.79,4.51,38.94,1.22,3.14,85.67,6.08,7.10,778.84,266.18,34.18
Sundargarh,1568.42,1045.21,66.64,882.24,1749.78,198.33,1078.29,1104.18,102.40,196.05,3.28,1.67,294.08,26.23,8.92,9802.64,7160.56,73.05
