district,target_2024_25_fy_physical_shgs_3,financial_inr_in_lakh_4,cumulative_achievement_current_year_physical_shgs_7,financial_inr_in_lakh_8,pct_achievement_physical_shgs_9_7_3,financial_inr_in_lakh_10_8_4,average_loan_size_12_8_7
Angul,16130,79992.90,5611,25893.05,35,32,4.61
Balangir,12050,48264.77,2654,8764.07,22,18,3.30
Balasore,24770,129801.35,6268,30432.47,25,23,4.86
Bargarh,11750,54202.52,2772,10403.80,24,19,3.75
Bhadrak,17700,94260.45,7286,35646.69,41,38,4.89
Boudh,3980,19762.22,1221,5338.95,31,27,4.37
Cuttack,24385,128411.50,3690,19537.20,15,15,5.29
Deogarh,4450,19006.23,1946,7925.85,44,42,4.07
Dhenkanal,12090,60443.04,3217,16991.88,27,28,5.28
Gajapati,6195,25042.45,1925,7264.29,31,29,3.77
Ganjam,31365,156287.15,6336,29465.42,20,19,4.65
Jagatsinghpur,13990,72757.74,3598,18331.03,26,25,5.09
Jajpur,19500,105695.60,8322,41879.96,43,40,5.03
Jharsuguda,4805,23310.24,1905,6829.36,40,29,3.58
Kalahandi,9985,40572.66,4173,15507.60,42,38,3.72
Kandhamal,7645,33990.77,2708,8786.10,35,26,3.24
Kendrapara,15900,84865.11,2626,12877.48,17,15,4.90
Keonjhar,17035,81627.75,6077,30911.75,36,38,5.09
Khordha,19600,120937.00,4310,27792.22,22,23,6.45
Koraput,10045,40210.89,3499,10500.44,35,26,3.00
Malkangiri,4920,19951.28,2077,6483.89,42,32,3.12
Mayurbhanj,26535,134164.63,6103,32047.23,23,24,5.25
Nabarangpur,7290,29662.25,1931,6453.79,26,22,3.34
Nayagarh,11740,69681.05,2266,13384.31,19,19,5.91
Nuapada,5440,22154.19,1022,3103.01,19,14,3.04
Puri,21415,114356.00,5291,31589.34,25,28,5.97
Rayagada,7120,30119.29,2418,12105.00,34,40,5.01
Sambalpur,8880,48656.00,3622,15974.51,41,33,4.41
Subarnapur,5790,24992.23,2393,8274.48,41,33,3.46
Sundargarh,17500,86820.78,6350,27100.57,36,31,4.27
